section_a,section_b,mesh_similarity
HIV Immunovirology Section,Biology of Vector-Borne Viruses Section,0.07469135802469136
Viral Biology Section,Hepatic Pathogenesis Section,0.07468605419695969
Viral Pathogenesis Section (Laboratory of Immunoregulation),Apicomplexan Molecular Physiology Section,0.0746771476698484
Transplant Infectious Diseases Consult Service,Innate Immunity and Pathogenesis Section,0.07463952502120441
Vector Biology Section,Neuroimmunology Unit,0.07463402927765779
Mucosal Immunobiology Section,DNA Tumor Virus Section,0.07462686567164178
Structural Informatics Unit,Molecular Parasitology and Entomology Unit,0.07462686567164178
HIV Pathogenesis Section,Coxiella Pathogenesis Section,0.07460982108869432
Retroviral Immunology Section,Prion Cell Biology Unit,0.0746043707611153
TSE/Prion Biochemistry Section,Food Allergy Research Section,0.07457081545064377
Viral Budding Unit,Molecular Development of the Immune System Section,0.07456503728251865
Malaria Infection Biology and Immunity Unit,Antibody Biology Unit,0.07456140350877193
Plague Section,HIV-Specific Immunity Section,0.07454890788224122
Molecular Genetics Section (Laboratory of Viral Diseases),Molecular Entomology Unit,0.07454545454545454
Immunopathogenesis Section (Laboratory of Immunoregulation),Chlamydial Diseases Section,0.07453096890259574
LID Clinical Studies Unit,Building NIHAC/103,0.07450980392156863
Viral Biochemistry Section,Immune Deficiency Genetics Section,0.07449908925318761
Structural Immunology Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.07448377581120944
Vector-Pathogen-Host Interaction Unit,Molecular Pathogenesis and Biomarkers Section,0.07446332737030412
Systems Genomics Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.07445442875481387
Vector Biology Section,Clinical Pathophysiology Section,0.07444111546439272
Clinical Research Section,Chlamydial Diseases Section,0.07441655658300309
TSE/Prion and Retroviral Pathogenesis Section,Malaria Infection Biology and Immunity Unit,0.0743801652892562
Molecular Pathogenesis and Biomarkers Section,Inflammation & Innate Immunity Unit,0.07437070938215103
T-Cell Tolerance and Memory Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.07433102081268583
Computational Biology Unit,Allergy and Immunology Clinical Training Program,0.07429420505200594
Transplant Infectious Diseases Consult Service,Caliciviruses Section,0.07427413909520594
Molecular Genetics Section (Laboratory of Bacteriology),Functional Cellular Networks Section,0.07426597582037997
T-Lymphocyte Biology Section,Apicomplexan Molecular Physiology Section,0.07426099495313626
Malaria Functional Genomics Section,Gene Regulation Section,0.07425949103045473
RML Microscopy Unit,Epithelial Therapeutics Unit,0.07423208191126279
Host-Pathogen Interactions and Structural Vaccinology Section,Computational Biology Unit,0.07423117709437964
Vector Biology Section,Retroviral Immunology Section,0.07422775472568004
Salmonella-Host Cell Interactions Section,Human Immunological Diseases Section,0.07419450192137156
Molecular and Cellular Immunology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.07419354838709677
Inflammation & Innate Immunity Unit,Genetic Immunotherapy Section,0.07419251678925488
Twinbrook Imaging Facility,Pathogen-Host Cell Biology Section,0.07418655097613883
Salmonella-Host Cell Interactions Section,Multiscale Systems Biology Section,0.07417582417582418
HIV Pathogenesis Section,Caliciviruses Section,0.07417168674698796
Functional Cellular Networks Section,Antibody Biology Unit,0.0741687979539642
Physiology Unit,Pathogenesis and Immunity Section,0.0741580310880829
Vaccine Development Unit,Physiology Unit,0.0741580310880829
Molecular Parasitology and Entomology Unit,Infectious Disease Pathogenesis Section,0.07415730337078652
Viral Pathogenesis and Evolution Section,Translational Immunobiology Unit,0.07415406767458603
Structural Virology Section,Apicomplexan Molecular Physiology Section,0.07413945278022947
Molecular Pathogenesis Unit,Human Immunological Diseases Section,0.07413695529145445
Multiscale Systems Biology Section,HIV Immunovirology Section,0.07413010590015129
Molecular Pathology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.07410838351088467
Translational Immunobiology Unit,Pathogen-Host Cell Biology Section,0.07408923454768727
Multiscale Systems Biology Section,Mosquito Immunity and Vector Competence Section,0.07407407407407407
Twinbrook Imaging Facility,Molecular Parasitology and Entomology Unit,0.07407407407407407
Viral Immunology Section,Lymphocyte Activation Section,0.07406413524755132
Pathology Core,LID Clinical Studies Unit,0.0740418118466899
Gene Regulation Section,Apicomplexan Molecular Physiology Section,0.07404103479036575
Viral Pathogenesis Section (Laboratory of Immunoregulation),International HIV/STD Section,0.07402566539923955
Mucosal Immunobiology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.07402563431859796
Biology of Vector-Borne Viruses Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.0740236148955495
Infectious Disease Fellowship Training Program,Biology of Vector-Borne Viruses Section,0.07402330363262509
Viral Epidemiology and Immunity Unit,Lyme Disease Studies Unit,0.07401032702237521
Translational Immunobiology Unit,Malaria Functional Genomics Section,0.07398568019093078
Malaria Infection Biology and Immunity Unit,Host-Parasite Interactions Section,0.07397622192866579
Type 2 Immunity Section,Disease Modeling and Transmission Section,0.07396753647010479
Neuroimmunology Unit,Malaria Genetics Section,0.07395723799509288
Tick-Pathogen Transmission Unit,Innate Immunity and Pathogenesis Section,0.0739514348785872
Virus Ecology Section,Mast Cell Biology Section,0.07394931023419955
Plague Section,Disease Modeling and Transmission Section,0.07392445970511008
Salmonella-Host Cell Interactions Section,Intracellular Parasite Biology Section,0.07392253136933988
Transplant Infectious Diseases Consult Service,Systems Genomics Section,0.07391113066432028
Signaling Systems Section,Emerging Respiratory Viruses Section,0.07390896292820272
Signaling Systems Section,Medical Virology Section,0.07390896292820272
Disease Modeling and Transmission Section,DNA Tumor Virus Section,0.07389162561576355
Nonhuman Primate Virology Section,Inflammation & Innate Immunity Unit,0.07386363636363637
Molecular Genetics Section (Laboratory of Viral Diseases),Apicomplexan Molecular Physiology Section,0.0738581146744412
Signaling Systems Section,Mast Cell Biology Section,0.07384898710865562
Molecular Genetics Section (Laboratory of Viral Diseases),Lyme Disease Studies Unit,0.07384615384615385
Vector-Pathogen-Host Interaction Unit,Molecular Defenses Section,0.07383479464697738
Structural Virology Section,Molecular Microbiology Section,0.07381934892251261
Pathogenesis and Immunity Section,Molecular Biology Section,0.07380688124306327
Vaccine Development Unit,Molecular Biology Section,0.07380688124306327
Viral Budding Unit,Structural Informatics Unit,0.07378640776699029
Viral Biochemistry Section,Vector Biology Section,0.07377234668477031
Translational Immunobiology Unit,Immunobiology Section,0.07377049180327869
Epithelial Therapeutics Unit,Clinical Pathophysiology Section,0.07376362112321877
Primary Immune Deficiency Clinic,Genetic Engineering Section,0.073746918652424
T-Cell Tolerance and Memory Section,DNA Tumor Virus Section,0.07373653686826843
Viral Pathogenesis and Vaccine Section,TSE/Prion Molecular Biology Section,0.07371948300622308
RML Flow Cytometry Unit,Building NIHAC/103,0.07371794871794872
Infectious Disease Pathogenesis Section,Cellular Biology Section,0.07371294851794072
Infectious Disease Fellowship Training Program,Chemotaxis Signal Section,0.07370864770748695
Prion Cell Biology Unit,Epithelial Therapeutics Unit,0.07366482504604052
Molecular Microbiology Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.07366393837265287
Pathology Core,Hepatic Pathogenesis Section,0.07364864864864865
Molecular Entomology Unit,Allergy and Immunology Clinical Training Program,0.0736392742796158
Structural Biology Section,B-Cell Immunology Section,0.07362703681351841
Inflammation & Innate Immunity Unit,HIV Immunovirology Section,0.07361197754210855
Inflammation Biology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.0736076853174088
Gene Regulation Section,Cell Signaling and Immunity Section,0.0735950044603033
Pathology Core,Biological Imaging,0.07358870967741936
Viral Biochemistry Section,Antibacterial Host Defense Unit,0.07356608478802992
T-Cell Tolerance and Memory Section,Apicomplexan Molecular Physiology Section,0.07355679702048418
Research Technology Branch,Infectious Disease Pathogenesis Section,0.07352941176470588
TSE/Prion Biochemistry Section,Inflammation & Innate Immunity Unit,0.07352941176470588
Human Immunological Diseases Section,Antibacterial Host Defense Unit,0.07349468713105077
Nonhuman Primate Virology Section,International HIV/STD Section,0.07347254447022429
T-Cell Tolerance and Memory Section,Clinical Research Section,0.07347140039447732
Twinbrook Imaging Facility,Molecular Pathogenesis Unit,0.07341772151898734
Salmonella-Host Cell Interactions Section,Malaria Functional Genomics Section,0.07341352136043136
Signaling Systems Section,Allergy and Immunology Clinical Training Program,0.07339449541284404
Twinbrook III,Chlamydial Diseases Section,0.07338551859099804
Tuberculosis Research Section,T-Cell Tolerance and Memory Section,0.07338483146067416
Nonhuman Primate Virology Section,Computational Biology Unit,0.07335733573357335
Tick-Pathogen Transmission Unit,Molecular Genetics Section (Laboratory of Bacteriology),0.0733519034354689
Molecular and Cellular Immunoregulation Section,Functional Cellular Networks Section,0.07335127860026917
Structural Virology Section,Infectious Disease Fellowship Training Program,0.07333333333333333
Viral Pathogenesis Section (Laboratory of Immunoregulation),Gene Regulation Section,0.07331378299120235
Viral Biology Section,Pathogenesis and Immunity Section,0.07331042382588775
Viral Biology Section,Vaccine Development Unit,0.07331042382588775
Structural Virology Section,Lyme Disease Studies Unit,0.07330960854092526
Food Allergy Research Section,Apicomplexan Molecular Physiology Section,0.07328833172613308
Lymphocyte Activation Section,HIV Immunovirology Section,0.0732824427480916
Scientist Emerita,Antibody Biology Unit,0.07327586206896551
Pathogen-Host Cell Biology Section,Epidemiology and Population Studies Unit,0.07327433628318585
Lyme Disease Studies Unit,Genetic Engineering Section,0.07326082495382721
Mosquito Immunity and Vector Competence Section,Hepatic Pathogenesis Section,0.0732574679943101
Integrative Immunobiology Section,HIV-Specific Immunity Section,0.07325581395348837
Translational Immunobiology Unit,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.07325383304940375
Malaria Genetics Section,HIV-Specific Immunity Section,0.07322929171668667
Hepatic Pathogenesis Section,Cellular Biology Section,0.0732124529592884
Inflammation & Innate Immunity Unit,Host-Pathogen Interactions and Structural Vaccinology Section,0.07319485657764589
Structural Immunology Section,Immune Deficiency Genetics Section,0.07317528467425798
Multiscale Systems Biology Section,Lyme Disease Studies Unit,0.07317073170731707
Translational Autoinflammatory Disease Studies Unit,Structural Virology Section,0.07317073170731707
TSE/Prion Biochemistry Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.07316543638732088
Clinical Research Section,B-Cell Molecular Immunology Section,0.07313829787234043
Disease Modeling and Transmission Section,Biology of Vector-Borne Viruses Section,0.07312338222605695
Twinbrook III,Epithelial Therapeutics Unit,0.07312252964426877
Immune Activation Section,Biology of Vector-Borne Viruses Section,0.07311399135925557
Molecular Signaling Section,Biology of Vector-Borne Viruses Section,0.07311399135925557
Clinical and Molecular Retrovirology Section,Biology of Vector-Borne Viruses Section,0.07311129163281885
Twinbrook III,Neuroimmunology Unit,0.07308377896613191
Viral Biology Section,Neuroimmunological Diseases Section,0.07308377896613191
Viral Pathogenesis Section (Laboratory of Viral Diseases),Transplant Infectious Diseases Consult Service,0.07305669199298656
TSE/Prion and Retroviral Pathogenesis Section,DNA Tumor Virus Section,0.07305095150399017
TSE/Prion Biochemistry Section,Helminth Immunology Section,0.07304706068768817
Molecular Pathogenesis Unit,Integrative Immunobiology Section,0.07303877366997295
Structural Immunology Section,Pathogenesis and Immunity Section,0.07302118171683389
Vaccine Development Unit,Structural Immunology Section,0.07302118171683389
Host-Pathogen Interactions and Structural Vaccinology Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.0730186999109528
Translational Allergic Immunopathology Unit,Structural Biology Section,0.0730186999109528
Molecular Genetics Section (Laboratory of Viral Diseases),Molecular Development of the Immune System Section,0.07301331181928197
Mast Cell Biology Section,HIV-Specific Immunity Section,0.07299150881776617
Retroviral Immunology Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.07298999629492404
Molecular Entomology Unit,Genetic Engineering Section,0.07294117647058823
Transplant Infectious Diseases Consult Service,Intracellular Parasite Biology Section,0.07293399889073766
Microbial Pathogenesis Section,Clinical Research Section,0.07291487532244197
Molecular Genetics Section (Laboratory of Bacteriology),Emerging Respiratory Viruses Section,0.07290748898678415
Molecular Genetics Section (Laboratory of Bacteriology),Medical Virology Section,0.07290748898678415
Molecular and Cellular Immunoregulation Section,Molecular Pathogenesis Unit,0.07290015847860538
Prion Cell Biology Unit,Molecular Genetics Section (Laboratory of Bacteriology),0.0728910728910729
LID Clinical Studies Unit,DNA Tumor Virus Section,0.07287822878228782
Viral Immunology Section,Functional Cellular Networks Section,0.0728476821192053
T-Cell Tolerance and Memory Section,Clinical Microbiome Unit (CMU),0.07282913165266107
Signaling Systems Section,Human Eosinophil Section,0.07281344248168893
Functional Cellular Networks Section,Apicomplexan Molecular Physiology Section,0.07281001137656427
TSE/Prion and Retroviral Pathogenesis Section,Human Eosinophil Section,0.07279693486590039
Multiscale Systems Biology Section,Molecular Parasitology and Entomology Unit,0.07278481012658228
Structural Virology Section,Quantitative Virology and Evolution Unit,0.07278481012658228
Viral Epidemiology and Immunity Unit,Molecular Pathogenesis and Biomarkers Section,0.07275047862156987
Innate Immunity and Pathogenesis Section,Allergy and Immunology Clinical Training Program,0.07274590163934426
Molecular Pathogenesis Unit,Genetic Immunotherapy Section,0.07273271475606106
Molecular Pathogenesis Unit,Genetic Engineering Section,0.072723395180209
Translational Immunobiology Unit,Inflammation & Innate Immunity Unit,0.07271095152603231
Flow Cytometry Section,Epidemiology and Population Studies Unit,0.07270408163265306
Translational Autoinflammatory Disease Studies Unit,Molecular Pathogenesis Unit,0.07269653423499578
Malaria Functional Genomics Section,LID Clinical Studies Unit,0.07267833109017496
Transplant Infectious Diseases Consult Service,Lung and Vascular Inflammation Section,0.07267833109017496
Quantitative Virology and Evolution Unit,Biology of Vector-Borne Viruses Section,0.07263513513513513
Inflammation & Innate Immunity Unit,Human Eosinophil Section,0.07260273972602739
T-Cell Tolerance and Memory Section,Hepatic Pathogenesis Section,0.07260155574762317
Translational Immunobiology Unit,Immune Activation Section,0.07258320126782884
Translational Immunobiology Unit,Molecular Signaling Section,0.07258320126782884
Pathogen-Host Cell Biology Section,Integrative Immunobiology Section,0.07258064516129033
RML Microscopy Unit,HIV Pathogenesis Section,0.07257448433919023
Genetic Immunotherapy Section,DNA Tumor Virus Section,0.07256637168141593
Translational Autoinflammatory Disease Studies Unit,TSE/Prion and Retroviral Pathogenesis Section,0.07256499805975941
Emerging Virus Immunity Unit,B-Cell Molecular Immunology Section,0.07256145915939731
T-Lymphocyte Biology Section,Malaria Genetics Section,0.07254069355980183
Malaria Functional Genomics Section,Integrative Immunobiology Section,0.07251411202778985
HIV-Specific Immunity Section,Chemotaxis Signal Section,0.07250608272506083
Multiscale Systems Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.07250341997264022
TSE/Prion Biochemistry Section,Physiology Unit,0.07250268528464017
Neuroimmunological Diseases Section,Clinical Microbiome Unit (CMU),0.07247706422018349
Integrative Immunobiology Section,Human Eosinophil Section,0.07246376811594203
Office of the Animal Program Director,NIAID International Center of Excellence in Research Cambodia,0.07246376811594203
Physiology Unit,Molecular and Cellular Immunology Section,0.07246376811594203
Tick-Pathogen Transmission Unit,Integrative Immunobiology Section,0.07246376811594203
Mast Cell Biology Section,Infectious Disease Fellowship Training Program,0.0724512678971882
RML Flow Cytometry Unit,HIV Pathogenesis Section,0.07244318181818182
Molecular Pathogenesis Unit,HIV Pathogenesis Section,0.07243891984569224
Integrative Immunobiology Section,Immune Activation Section,0.07242434546072764
Molecular Signaling Section,Integrative Immunobiology Section,0.07242434546072764
Viral Biology Section,Clinical and Molecular Retrovirology Section,0.07242240456653586
Viral Epidemiology and Immunity Unit,Office of the Animal Program Director,0.07238605898123325
Viral Biology Section,Translational Autoinflammatory Disease Studies Unit,0.07236580516898608
Physiology Unit,Molecular Genetics Section (Laboratory of Bacteriology),0.07235338918507235
Molecular Pathogenesis and Biomarkers Section,Biology of Vector-Borne Viruses Section,0.07231638418079096
Translational Immunobiology Unit,TSE/Prion and Retroviral Pathogenesis Section,0.07231270358306188
Tick-Pathogen Transmission Unit,Host-Pathogen Interactions and Structural Vaccinology Section,0.0723055934515689
TSE/Prion and Retroviral Pathogenesis Section,Emerging Virus Immunity Unit,0.07230142566191446
Structural Virology Section,Molecular and Cellular Immunoregulation Section,0.07228915662650602
Translational Allergic Immunopathology Unit,TSE/Prion and Retroviral Pathogenesis Section,0.07228915662650602
Mast Cell Biology Section,Chemotaxis Signal Section,0.07228484523170514
Prion Cell Biology Unit,Molecular Parasitology Section,0.07228116710875332
Viral Epidemiology and Immunity Unit,Infectious Disease Fellowship Training Program,0.07227958697378872
Pathology Core,Malaria Genetics Section,0.0722594289742686
Immunobiology Section,DNA Tumor Virus Section,0.07224118316268487
LID Clinical Studies Unit,Immunopathogenesis Section (Laboratory of Immunoregulation),0.07223796033994334
Pathogen Molecular Genetics Section,Food Allergy Research Section,0.07223796033994334
Salmonella-Host Cell Interactions Section,Barrier Immunity Section,0.07222451506397029
Inflammation Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.07220708446866485
Twinbrook III,Molecular Pathogenesis and Biomarkers Section,0.07219759341355288
Host-Parasite Interactions Section,Barrier Immunity Section,0.07219662058371736
Integrative Immunobiology Section,Apicomplexan Molecular Physiology Section,0.0721951219512195
Retroviral Immunology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.07219148114785742
T-Lymphocyte Biology Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.07219031993437244
Vector Biology Section,TSE/Prion and Retroviral Pathogenesis Section,0.07218434046555372
Office of the Animal Program Director,Antibody Biology Unit,0.07216494845360824
Vector Biology Section,B-Cell Immunology Section,0.0721626940739121
Vector-Pathogen-Host Interaction Unit,Retroviral Immunology Section,0.07214475048980062
Vector Biology Section,HIV Pathogenesis Section,0.07212787212787213
Vector-Pathogen-Host Interaction Unit,HIV-Specific Immunity Section,0.07212020033388981
Neuroimmunological Diseases Section,Biology of Vector-Borne Viruses Section,0.07211895910780669
Structural Virology Section,HIV Immunovirology Section,0.07211538461538461
Primary Immune Deficiency Clinic,Apicomplexan Molecular Physiology Section,0.07210884353741497
Computational Biology Unit,Building 33,0.07210626185958255
TSE/Prion and Retroviral Pathogenesis Section,Buildings 4 and 10/11C127,0.07210343112879164
Retroviral Immunology Section,Chemotaxis Signal Section,0.07208237986270023
Host-Parasite Interactions Section,Computational Biology Unit,0.07206405693950178
TSE/Prion and Retroviral Pathogenesis Section,Clinical Pathophysiology Section,0.07203389830508475
Viral Pathogenesis and Vaccine Section,Integrative Immunobiology Section,0.07203389830508475
Lung and Vascular Inflammation Section,Buildings 4 and 10/11C127,0.0720250521920668
Clinical and Molecular Retrovirology Section,Allergy and Immunology Clinical Training Program,0.0720035778175313
Translational Allergic Immunopathology Unit,Biological Imaging,0.072
Virus Ecology Section,Apicomplexan Molecular Physiology Section,0.07199602780536246
Scientist Emerita,Clinical Research Section,0.07196261682242991
Microbial Pathogenesis Section,Innate Immunity and Pathogenesis Section,0.07195979899497487
Systems Genomics Section,Physiology Unit,0.07193923145665773
Multiscale Systems Biology Section,Molecular and Cellular Immunoregulation Section,0.07193732193732194
Integrative Immunobiology Section,Host-Parasite Interactions Section,0.07192982456140351
Molecular Pathogenesis Unit,Intracellular Parasite Biology Section,0.07191422594142259
Molecular and Cellular Immunology Section,Biological Imaging,0.07190860215053764
Prion Cell Biology Unit,Primary Immune Deficiency Clinic,0.07190082644628099
Molecular Microbiology Section,Computational Biology Unit,0.0718795531811559
Systems Genomics Section,Apicomplexan Molecular Physiology Section,0.07187370170336518
Salmonella-Host Cell Interactions Section,Malaria Infection Biology and Immunity Unit,0.0718562874251497
Neuroimmunology Unit,Helminth Immunology Section,0.0718415980374978
Intracellular Parasite Biology Section,Antibacterial Host Defense Unit,0.07181719260065289
DNA Tumor Virus Section,Cellular Immunology Section,0.07181136120042872
Molecular Genetics Section (Laboratory of Viral Diseases),HIV Immunovirology Section,0.07179487179487179
Viral Pathogenesis Section (Laboratory of Immunoregulation),Biological Imaging,0.07179115300942712
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),HIV Immunovirology Section,0.07177154409906494
Structural Immunology Section,Malaria Genetics Section,0.07176549865229111
Molecular Pathogenesis and Biomarkers Section,Food Allergy Research Section,0.07176196032672112
Scientist Emerita,Pathogenesis and Immunity Section,0.07175854635047736
Vaccine Development Unit,Scientist Emerita,0.07175854635047736
Viral Pathogenesis and Vaccine Section,Twinbrook Imaging Facility,0.0717557251908397
Chemotaxis Signal Section,Barrier Immunity Section,0.07175226586102719
Tuberculosis Research Section,Chemotaxis Signal Section,0.07174744897959184
Vector Biology Section,HIV-Specific Immunity Section,0.07173539518900343
Vector-Pathogen-Host Interaction Unit,Lyme Disease Studies Unit,0.07170384211140955
Vector-Pathogen-Host Interaction Unit,Emerging Virus Immunity Unit,0.07169768238383377
TSE/Prion Molecular Biology Section,Biological Imaging,0.07168894289185905
Viral Pathogenesis and Vaccine Section,Apicomplexan Molecular Physiology Section,0.07167070217917676
RNA Viruses Section,Allergy and Immunology Clinical Training Program,0.07166123778501629
Viral Pathogenesis and Evolution Section,Host-Parasite Interactions Section,0.07165326808808109
Clinical Research Section,Antibacterial Host Defense Unit,0.07163323782234957
Viral Biochemistry Section,Integrative Immunobiology Section,0.07161981258366801
Tick-Pathogen Transmission Unit,Biological Imaging,0.07161125319693094
Transplant Infectious Diseases Consult Service,Malaria Immunology Section,0.07160581354129741
RML Microscopy Unit,Clinical Research Section,0.07159810126582279
Molecular Pathology Section,Functional Cellular Networks Section,0.07152875175315568
Twinbrook III,Food Allergy Research Section,0.07152496626180836
Translational Mycology Section,Lymphocyte Activation Section,0.0715086932136848
Plague Section,HIV Immunovirology Section,0.07150205761316872
TSE/Prion Molecular Biology Section,Microbial Pathogenesis Section,0.07150153217568948
Molecular Genetics Section (Laboratory of Bacteriology),Apicomplexan Molecular Physiology Section,0.07147673634524612
Viral Pathogenesis and Vaccine Section,Viral Budding Unit,0.07146753955264594
Microbial Pathogenesis Section,Host-Parasite Interactions Section,0.07145724608590927
Plague Section,Clinical and Molecular Retrovirology Section,0.07145421903052064
TSE/Prion and Retroviral Pathogenesis Section,Immune Deficiency Genetics Section,0.07144196512282018
Viral Pathogenesis Section (Laboratory of Viral Diseases),Helminth Immunology Section,0.07144022182351982
Molecular Entomology Unit,Genetic Immunotherapy Section,0.07142857142857142
Molecular Pathogenesis and Biomarkers Section,International HIV/STD Section,0.07141181988742965
Molecular Genetics Section (Laboratory of Viral Diseases),Fungal Pathogenesis Section,0.07138423339540657
Retroviral Immunology Section,Gene Regulation Section,0.0713813615333774
Immunity to Pulmonary Pathogens Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.0713809206137425
Molecular HIV Host Interactions Section,Functional Cellular Networks Section,0.07136485280999108
Vector Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.07135523613963039
Neuroimmunological Diseases Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.07132564841498559
Vector Molecular Biology Section,Scientist Emerita,0.0713224368499257
Pathology Core,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.07130618162646632
Multiscale Systems Biology Section,Chemotaxis Signal Section,0.07127882599580712
Pathology Core,Clinical Research Section,0.07127704709376326
Mucosal Immunity Section,Allergy and Immunology Clinical Training Program,0.07127429805615551
TSE/Prion Molecular Biology Section,Emerging Virus Immunity Unit,0.0712603062426384
Infectious Disease Pathogenesis Section,Cell Signaling and Immunity Section,0.07125427037579307
Virus Ecology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.07124551512045105
Tuberculosis Research Section,Transplant Infectious Diseases Consult Service,0.0712280701754386
Salmonella-Host Cell Interactions Section,Microbial Pathogenesis Section,0.07122032486463974
Host-Pathogen Interactions and Structural Vaccinology Section,Cell Signaling and Immunity Section,0.07120743034055728
LID Clinical Studies Unit,Chemotaxis Signal Section,0.07117117117117117
Viral Biochemistry Section,Functional Cellular Networks Section,0.07116382505559674
Transplant Infectious Diseases Consult Service,RNA Viruses Section,0.07112970711297072
Multiscale Systems Biology Section,Coxiella Pathogenesis Section,0.07112616426756986
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),HIV-Specific Immunity Section,0.07110176827006306
Quantitative Virology and Evolution Unit,Antibody Biology Unit,0.07109004739336493
Physiology Unit,HIV Pathogenesis Section,0.07108549471661864
NIAID International Center of Excellence in Research Cambodia,LID Clinical Studies Unit,0.07107843137254902
Translational Immunobiology Unit,Clinical Pathophysiology Section,0.07107843137254902
Molecular HIV Host Interactions Section,Gene Regulation Section,0.07106227106227106
Lung and Vascular Inflammation Section,Allergy and Immunology Clinical Training Program,0.0710409472126295
TSE/Prion Molecular Biology Section,Barrier Immunity Section,0.07103174603174603
Twinbrook Imaging Facility,Systems Genomics Section,0.07102641836292767
Signaling Systems Section,Malaria Genetics Section,0.07099697885196375
Tuberculosis Research Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.07098765432098765
Structural Biology Section,Hepatic Pathogenesis Section,0.0709849157054126
Pathogen-Host Cell Biology Section,Hepatic Pathogenesis Section,0.07097032878909383
Type 2 Immunity Section,Mast Cell Biology Section,0.07095383509969463
Physiology Unit,Cell Signaling and Immunity Section,0.07093184979137691
Viral Biology Section,Emerging Virus Immunity Unit,0.07090336134453781
Immunity to Pulmonary Pathogens Section,Functional Cellular Networks Section,0.07085346215780998
Prion Cell Biology Unit,Lyme Disease Studies Unit,0.07084019769357495
Molecular Parasitology and Entomology Unit,Building 33,0.07083333333333333
Tick-Pathogen Transmission Unit,Gene Regulation Section,0.07083333333333333
T-Lymphocyte Biology Section,DNA Tumor Virus Section,0.07081967213114754
Twinbrook Imaging Facility,Twinbrook III,0.07080745341614907
HIV-Specific Immunity Section,Biology of Vector-Borne Viruses Section,0.07079152731326645
Immunity to Pulmonary Pathogens Section,Allergy and Immunology Clinical Training Program,0.07078925956061839
Vector-Pathogen-Host Interaction Unit,Mucosal Immunobiology Section,0.07077891791044776
Intracellular Parasite Biology Section,Host-Parasite Interactions Section,0.07076205287713841
TSE/Prion and Retroviral Pathogenesis Section,Infectious Disease Fellowship Training Program,0.0707395498392283
Mucosal Immunity Section,Infectious Disease Pathogenesis Section,0.07073684210526315
Innate Immunity and Pathogenesis Section,HIV Pathogenesis Section,0.07070279424216766
Pathogen-Host Cell Biology Section,Infectious Disease Pathogenesis Section,0.07069288389513109
Virus Ecology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.07067999025103583
Human Immunological Diseases Section,DNA Tumor Virus Section,0.07067334446299388
Viral Pathogenesis Section (Laboratory of Viral Diseases),Epidemiology and Population Studies Unit,0.0706713780918728
Viral Budding Unit,Quantitative Virology and Evolution Unit,0.07066381156316917
Molecular Pathology Section,Computational Biology Unit,0.07064868336544637
Immunobiology and Molecular Virology Unit,Allergy and Immunology Clinical Training Program,0.07063440156965337
Tick-Pathogen Transmission Unit,Prion Cell Biology Unit,0.07063197026022305
Tuberculosis Research Section,DNA Tumor Virus Section,0.07062600321027288
Molecular Entomology Unit,Microbial Pathogenesis Section,0.07060489581225976
Salmonella-Host Cell Interactions Section,Molecular Pathogenesis and Biomarkers Section,0.07060121345835632
Structural Virology Section,Genetic Engineering Section,0.07059599736089729
NIAID International Center of Excellence in Research Cambodia,Antibody Biology Unit,0.07058823529411765
Physiology Unit,Barrier Immunity Section,0.07056798623063683
TSE/Prion Biochemistry Section,Gene Regulation Section,0.0705521472392638
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Autoimmunity and Functional Genomics Section,0.07050092764378478
Structural Immunology Section,Molecular Pathogenesis Unit,0.07050092764378478
Cell Signaling and Immunity Section,Apicomplexan Molecular Physiology Section,0.07047700902449505
T-Cell Tolerance and Memory Section,Host-Parasite Interactions Section,0.07046979865771812
