section_a,section_b,journal_cat_similarity
Malaria Cell Biology Section,Computational Biology Unit,0.15298507462686567
Food Allergy Research Section,Chlamydial Diseases Section,0.15294117647058825
Molecular and Cellular Immunoregulation Section,DNA Tumor Virus Section,0.15294117647058825
Lymphocyte Biology Section,DNA Tumor Virus Section,0.1529175050301811
Lyme Disease Studies Unit,Autoimmunity and Functional Genomics Section,0.1529051987767584
Virus Ecology Section,Pathology Core,0.15289982425307558
Translational Immunobiology Unit,Primary Immune Deficiency Clinic,0.15281501340482573
T-Cell Tolerance and Memory Section,Physiology Unit,0.1527777777777778
Translational Mycology Section,Antibacterial Host Defense Unit,0.1527777777777778
Structural Biology Section,HIV Pathogenesis Section,0.15274949083503056
LID Clinical Studies Unit,Gene Regulation Section,0.15263157894736842
Prion Cell Biology Unit,Immune Activation Section,0.1526032315978456
Prion Cell Biology Unit,Molecular Signaling Section,0.1526032315978456
Viral Pathogenesis Section (Laboratory of Immunoregulation),Functional Cellular Networks Section,0.15258215962441316
Molecular Entomology Unit,Immunopathogenesis Section (Laboratory of Immunoregulation),0.15256797583081572
Genomic Technologies Section,Biological Imaging,0.15254237288135594
Molecular and Cellular Immunoregulation Section,Genetic Engineering Section,0.15254237288135594
Prion Cell Biology Unit,Flow Cytometry Section,0.15254237288135594
TSE/Prion Biochemistry Section,Multiscale Systems Biology Section,0.15254237288135594
Virus Ecology Section,Tick-Pathogen Transmission Unit,0.15254237288135594
Prion Cell Biology Unit,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.15246636771300448
TSE/Prion and Retroviral Pathogenesis Section,Molecular Defenses Section,0.1524390243902439
Vector Molecular Biology Section,Infectious Disease Fellowship Training Program,0.1524390243902439
Vector Biology Section,Type 2 Immunity Section,0.1524271844660194
Multiscale Systems Biology Section,Infectious Disease Fellowship Training Program,0.15240641711229946
Physiology Unit,Biological Imaging,0.1523809523809524
RML Genomics Unit,Epidemiology and Population Studies Unit,0.1523545706371191
T-Cell Tolerance and Memory Section,Infectious Disease Pathogenesis Section,0.152317880794702
Infectious Disease Fellowship Training Program,Hepatic Pathogenesis Section,0.15228426395939088
Molecular Genetics Section (Laboratory of Viral Diseases),Host-Pathogen Interactions and Structural Vaccinology Section,0.15228426395939088
Immunobiology Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.15227817745803357
TSE/Prion and Retroviral Pathogenesis Section,Human Eosinophil Section,0.1522491349480969
Metaorganism Immunity Section,Epithelial Therapeutics Unit,0.15217391304347827
T-Lymphocyte Biology Section,Molecular Parasitology and Entomology Unit,0.15217391304347827
Vector-Pathogen-Host Interaction Unit,TSE/Prion Biochemistry Section,0.15215686274509804
Salmonella-Host Cell Interactions Section,Disease Modeling and Transmission Section,0.15208156329651656
Primary Immune Deficiency Clinic,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.15201729106628242
International HIV/STD Section,Clinical Research Section,0.15196548418024927
Molecular Parasitology and Entomology Unit,Malaria Infection Biology and Immunity Unit,0.15196078431372548
Viral Epidemiology and Immunity Unit,Gene Regulation Section,0.15196078431372548
T-Cell Tolerance and Memory Section,Neuroimmunological Diseases Section,0.1518624641833811
Molecular Genetics Section (Laboratory of Viral Diseases),Lyme Disease Studies Unit,0.15185185185185185
Twinbrook Imaging Facility,Emerging Virus Immunity Unit,0.15184381778741865
RML Flow Cytometry Unit,Human Eosinophil Section,0.15178571428571427
Vector Biology Section,Lung and Vascular Inflammation Section,0.15175438596491228
Prion Cell Biology Unit,Infectious Disease Fellowship Training Program,0.1517412935323383
Viral Immunology Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.15173674588665448
Viral Pathogenesis and Evolution Section,Molecular Pathology Section,0.15172413793103448
T-Lymphocyte Biology Section,Genetic Engineering Section,0.1516919486581097
Vector Molecular Biology Section,Chlamydial Diseases Section,0.15169002473206925
Mosquito Immunity and Vector Competence Section,Biological Imaging,0.15165876777251186
Epithelial Therapeutics Unit,Clinical and Molecular Retrovirology Section,0.15163147792706333
Pathology Core,Molecular Microbiology Section,0.15160796324655437
Translational Allergic Immunopathology Unit,Lyme Disease Studies Unit,0.15160349854227406
Structural Virology Section,Neuroimmunological Diseases Section,0.15159574468085107
Twinbrook Imaging Facility,Barrier Immunity Section,0.15156794425087108
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Clinical Pathophysiology Section,0.15155910079767948
Signaling Systems Section,Malaria Functional Genomics Section,0.15151515151515152
Type 2 Immunity Section,Intracellular Parasite Biology Section,0.1514644351464435
Virus Ecology Section,Chemotaxis Signal Section,0.15142857142857144
Lung and Vascular Inflammation Section,Caliciviruses Section,0.15139442231075698
Neuroimmunological Diseases Section,HIV Pathogenesis Section,0.15138282387190685
Pathogenesis and Immunity Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.15138023152270705
Vaccine Development Unit,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.15138023152270705
Translational Immunobiology Unit,Molecular Defenses Section,0.15137614678899083
Multiscale Systems Biology Section,Molecular Development of the Immune System Section,0.15126050420168066
Pathogen-Host Cell Biology Section,Neuroimmunological Diseases Section,0.15126050420168066
Molecular HIV Host Interactions Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.15123674911660778
Molecular Defenses Section,Antibacterial Host Defense Unit,0.15123456790123457
Infectious Disease Pathogenesis Section,Clinical and Molecular Retrovirology Section,0.15120967741935484
Hepatic Pathogenesis Section,HIV-Specific Immunity Section,0.1511627906976744
Viral Immunology Section,Lymphocyte Activation Section,0.1511461318051576
Salmonella-Host Cell Interactions Section,Prion Cell Biology Unit,0.15112540192926044
Structural Biology Section,Lung and Vascular Inflammation Section,0.1510989010989011
Molecular Entomology Unit,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.15109343936381708
Translational Immunobiology Unit,Pathogenesis and Immunity Section,0.1510791366906475
Vaccine Development Unit,Translational Immunobiology Unit,0.1510791366906475
T-Cell Tolerance and Memory Section,Metaorganism Immunity Section,0.15104166666666666
Retroviral Immunology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.15100904662491302
Neuroimmunological Diseases Section,Integrative Immunobiology Section,0.150997150997151
Intracellular Parasite Biology Section,Clinical Pathophysiology Section,0.15099009900990099
Virus Ecology Section,Hepatic Pathogenesis Section,0.15098468271334792
Molecular Pathology Section,Malaria Cell Biology Section,0.15097402597402598
Malaria Genetics Section,Human Immunological Diseases Section,0.15095541401273885
Translational Autoinflammatory Disease Studies Unit,Intracellular Parasite Biology Section,0.15091342335186655
Signaling Systems Section,Neuroimmunological Diseases Section,0.15085158150851583
Immune Deficiency Genetics Section,Clinical Research Section,0.15084294587400177
Infectious Disease Pathogenesis Section,B-Cell Molecular Immunology Section,0.15083798882681565
Scientist Emerita,Gene Regulation Section,0.15079365079365079
Molecular Pathology Section,Coxiella Pathogenesis Section,0.15076335877862596
RML Flow Cytometry Unit,Malaria Immunology Section,0.15074626865671642
Molecular Parasitology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.15072264280798348
Pathogenesis and Immunity Section,Genomic Technologies Section,0.1506986027944112
Vaccine Development Unit,Genomic Technologies Section,0.1506986027944112
Epidemiology and Population Studies Unit,Emerging Virus Immunity Unit,0.1506849315068493
Multiscale Systems Biology Section,Molecular Pathology Section,0.1506849315068493
Molecular Pathology Section,Hepatic Pathogenesis Section,0.15064102564102563
Mucosal Immunobiology Section,Malaria Immunology Section,0.1506276150627615
Retroviral Immunology Section,Lymphocyte Activation Section,0.1505981703026038
Twinbrook Imaging Facility,Human Immunological Diseases Section,0.15057915057915058
Inflammation & Innate Immunity Unit,Chemotaxis Signal Section,0.15053763440860216
Innate Immunity and Pathogenesis Section,Building NIHAC/103,0.15053763440860216
TSE/Prion Molecular Biology Section,Malaria Genetics Section,0.15053763440860216
Tick-Pathogen Transmission Unit,Hepatic Pathogenesis Section,0.15053763440860216
Immunopathogenesis Section (Laboratory of Immunoregulation),Flow Cytometry Section,0.1505016722408027
Tick-Pathogen Transmission Unit,Retroviral Immunology Section,0.15047021943573669
RNA Viruses Section,Primary Immune Deficiency Clinic,0.15046296296296297
Vector Biology Section,RNA Viruses Section,0.15045871559633028
Molecular Parasitology and Entomology Unit,Integrative Immunobiology Section,0.1504424778761062
Translational Autoinflammatory Disease Studies Unit,Pathogenesis and Immunity Section,0.15043394406943106
Vaccine Development Unit,Translational Autoinflammatory Disease Studies Unit,0.15043394406943106
Vector Biology Section,Caliciviruses Section,0.15041782729805014
Pathogen-Host Cell Biology Section,Flow Cytometry Section,0.1503623188405797
HIV-Specific Immunity Section,Epithelial Therapeutics Unit,0.15035799522673032
Retroviral Immunology Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.15034965034965034
Viral Immunology Section,Prion Cell Biology Unit,0.15028901734104047
Molecular Parasitology and Entomology Unit,HIV Immunovirology Section,0.15025906735751296
Transplant Infectious Diseases Consult Service,Translational Allergic Immunopathology Unit,0.15025906735751296
Molecular Entomology Unit,Biological Imaging,0.15023474178403756
Signaling Systems Section,Infectious Disease Pathogenesis Section,0.15023474178403756
Twinbrook Imaging Facility,Biology of Vector-Borne Viruses Section,0.15017064846416384
Genetic Immunotherapy Section,Emerging Virus Immunity Unit,0.1501632208922742
Host-Parasite Interactions Section,Genetic Immunotherapy Section,0.1501240694789082
TSE/Prion Biochemistry Section,Hepatic Pathogenesis Section,0.15010141987829614
Systems Genomics Section,Lyme Disease Studies Unit,0.15006150061500614
Biological Imaging,Allergy and Immunology Clinical Training Program,0.15
Epidemiology and Population Studies Unit,Clinical Pathophysiology Section,0.15
Transplant Infectious Diseases Consult Service,Mucosal Immunobiology Section,0.15
Host-Pathogen Interactions and Structural Vaccinology Section,Emerging Respiratory Viruses Section,0.1499482936918304
Medical Virology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.1499482936918304
Signaling Systems Section,RML Genomics Unit,0.14986376021798364
Molecular Pathogenesis and Biomarkers Section,Food Allergy Research Section,0.14985590778097982
Viral Biochemistry Section,Physiology Unit,0.14985590778097982
Transplant Infectious Diseases Consult Service,Translational Immunobiology Unit,0.14979757085020243
Vector Molecular Biology Section,Gene Regulation Section,0.1497907949790795
Pathogenesis and Immunity Section,HIV Immunovirology Section,0.14973821989528796
Vaccine Development Unit,HIV Immunovirology Section,0.14973821989528796
Twinbrook Imaging Facility,Biological Imaging,0.1497326203208556
Systems Genomics Section,Mast Cell Biology Section,0.14963503649635038
Primary Immune Deficiency Clinic,Immunobiology and Molecular Virology Unit,0.14959016393442623
Pathology Core,Coxiella Pathogenesis Section,0.14954954954954955
Physiology Unit,Inflammation Biology Section,0.14950166112956811
Mucosal Immunobiology Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.14948453608247422
Biology of Vector-Borne Viruses Section,Barrier Immunity Section,0.1494661921708185
Building NIHAC/103,Building 33,0.14942528735632185
Signaling Systems Section,Infectious Disease Fellowship Training Program,0.1493975903614458
Vector Biology Section,DNA Tumor Virus Section,0.1493815413891532
Translational Autoinflammatory Disease Studies Unit,Mast Cell Biology Section,0.14938080495356038
Mucosal Immunobiology Section,Immune Deficiency Genetics Section,0.149364406779661
Transplant Infectious Diseases Consult Service,Structural Biology Section,0.14935064935064934
Salmonella-Host Cell Interactions Section,Intracellular Parasite Biology Section,0.14933993399339934
Type 2 Immunity Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.1493212669683258
RML Genomics Unit,Neuroimmunological Diseases Section,0.14931237721021612
Scientist Emerita,Molecular Defenses Section,0.14929577464788732
Molecular and Cellular Immunology Section,Chlamydial Diseases Section,0.1492842535787321
Pathogen Molecular Genetics Section,Innate Immunity and Pathogenesis Section,0.14926931106471816
Molecular Genetics Section (Laboratory of Viral Diseases),Immunobiology and Molecular Virology Unit,0.14925373134328357
Systems Genomics Section,Mucosal Immunobiology Section,0.14925373134328357
Twinbrook Imaging Facility,HIV-Specific Immunity Section,0.14925373134328357
Virus Ecology Section,Twinbrook Imaging Facility,0.14919354838709678
Vector Biology Section,Molecular and Cellular Immunoregulation Section,0.14913083257090576
Multiscale Systems Biology Section,Antibody Biology Unit,0.14912280701754385
T-Cell Tolerance and Memory Section,HIV-Specific Immunity Section,0.14910025706940874
Viral Pathogenesis and Vaccine Section,Immune Deficiency Genetics Section,0.1490566037735849
Twinbrook Imaging Facility,Structural Informatics Unit,0.14903846153846154
Viral Biology Section,Transplant Infectious Diseases Consult Service,0.14901960784313725
Viral Biology Section,Translational Allergic Immunopathology Unit,0.1490066225165563
TSE/Prion and Retroviral Pathogenesis Section,Computational Biology Unit,0.1489971346704871
Primary Immune Deficiency Clinic,Host-Parasite Interactions Section,0.14898989898989898
Molecular Pathology Section,Malaria Genetics Section,0.1489841986455982
Vector-Pathogen-Host Interaction Unit,Molecular Microbiology Section,0.1489443378119002
Pathogen-Host Cell Biology Section,Infectious Disease Pathogenesis Section,0.14893617021276595
Viral Immunology Section,Human Immunological Diseases Section,0.14891696750902528
Molecular Genetics Section (Laboratory of Bacteriology),Chemotaxis Signal Section,0.14890282131661442
Molecular Entomology Unit,Lyme Disease Studies Unit,0.1488833746898263
Structural Biology Section,Pathology Core,0.1488673139158576
Transplant Infectious Diseases Consult Service,Salmonella-Host Cell Interactions Section,0.14885496183206107
Human Immunological Diseases Section,Clinical Research Section,0.14884868421052633
Structural Informatics Unit,Gene Regulation Section,0.14883720930232558
Emerging Respiratory Viruses Section,Chemotaxis Signal Section,0.1488095238095238
Medical Virology Section,Chemotaxis Signal Section,0.1488095238095238
Neuroimmunological Diseases Section,Gene Regulation Section,0.14874141876430205
Structural Biology Section,Molecular and Cellular Immunology Section,0.14871794871794872
Malaria Functional Genomics Section,Computational Biology Unit,0.14869281045751634
RML Flow Cytometry Unit,Immunobiology Section,0.14869281045751634
Coxiella Pathogenesis Section,Chemotaxis Signal Section,0.14868804664723032
Mucosal Immunity Section,Food Allergy Research Section,0.1486810551558753
Transplant Infectious Diseases Consult Service,Integrative Immunobiology Section,0.14864864864864866
Lung and Vascular Inflammation Section,Helminth Immunology Section,0.14858096828046743
Translational Mycology Section,Chlamydial Diseases Section,0.14855072463768115
Malaria Genetics Section,Apicomplexan Molecular Physiology Section,0.14850299401197606
Primary Immune Deficiency Clinic,Chemotaxis Signal Section,0.148479427549195
Mucosal Immunity Section,Molecular Pathogenesis Unit,0.14847161572052403
Immune Activation Section,Food Allergy Research Section,0.1484375
Molecular Signaling Section,Food Allergy Research Section,0.1484375
Quantitative Virology and Evolution Unit,Autoimmunity and Functional Genomics Section,0.1484375
Tuberculosis Research Section,Molecular Entomology Unit,0.1483790523690773
Integrative Immunobiology Section,HIV-Specific Immunity Section,0.1483375959079284
Plague Section,Neuroimmunological Diseases Section,0.14829659318637275
TSE/Prion Molecular Biology Section,Human Eosinophil Section,0.14829659318637275
Viral Biology Section,Pathogen Molecular Genetics Section,0.14829659318637275
Neuroimmunological Diseases Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.14829396325459318
Viral Pathogenesis Section (Laboratory of Immunoregulation),Scientist Emerita,0.14824120603015076
Metaorganism Immunity Section,Biology of Vector-Borne Viruses Section,0.14823008849557523
Translational Immunobiology Unit,Chemotaxis Signal Section,0.14821763602251406
Antibacterial Host Defense Unit,Allergy and Immunology Clinical Training Program,0.14814814814814814
Lyme Disease Studies Unit,HIV-Specific Immunity Section,0.14814814814814814
Molecular and Cellular Immunoregulation Section,Molecular Pathogenesis Unit,0.14814814814814814
RNA Viruses Section,Infectious Disease Fellowship Training Program,0.14814814814814814
Structural Immunology Section,Quantitative Virology and Evolution Unit,0.14814814814814814
Transplant Infectious Diseases Consult Service,Innate Immunity and Pathogenesis Section,0.14814814814814814
Transplant Infectious Diseases Consult Service,Lyme Disease Studies Unit,0.14814814814814814
Viral Biochemistry Section,Integrative Immunobiology Section,0.14814814814814814
Viral Biology Section,Biological Imaging,0.14814814814814814
Vector-Pathogen-Host Interaction Unit,Translational Mycology Section,0.1481191222570533
Signaling Systems Section,HIV Pathogenesis Section,0.1480804387568556
Structural Biology Section,Pathogen-Host Cell Biology Section,0.14807692307692308
TSE/Prion Molecular Biology Section,Pathogen Molecular Genetics Section,0.14803312629399587
Structural Informatics Unit,RML Microscopy Unit,0.148014440433213
Coxiella Pathogenesis Section,Computational Biology Unit,0.14798206278026907
Structural Virology Section,Prion Cell Biology Unit,0.14798206278026907
Mucosal Immunity Section,DNA Tumor Virus Section,0.14794007490636704
HIV Immunovirology Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.14791666666666667
Molecular Pathology Section,Immunobiology Section,0.14788732394366197
Pathogenesis and Immunity Section,DNA Tumor Virus Section,0.14788732394366197
Vaccine Development Unit,DNA Tumor Virus Section,0.14788732394366197
Physiology Unit,Caliciviruses Section,0.14776632302405499
RML Genomics Unit,Human Eosinophil Section,0.14776632302405499
TSE/Prion Biochemistry Section,Mast Cell Biology Section,0.14773519163763066
DNA Tumor Virus Section,Cellular Immunology Section,0.14772727272727273
Infectious Disease Fellowship Training Program,Cellular Immunology Section,0.14772727272727273
Viral Biochemistry Section,Food Allergy Research Section,0.14772727272727273
Research Technology Branch,Integrative Immunobiology Section,0.1476510067114094
Translational Mycology Section,Integrative Immunobiology Section,0.1476510067114094
Structural Informatics Unit,HIV Immunovirology Section,0.14761904761904762
Systems Genomics Section,Structural Virology Section,0.1476121562952243
Viral Biology Section,Prion Cell Biology Unit,0.14754098360655737
Research Technology Branch,Innate Immunity and Pathogenesis Section,0.14746543778801843
Pathogen Molecular Genetics Section,Apicomplexan Molecular Physiology Section,0.1474558670820353
Vector Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.14737883283877348
Molecular and Cellular Immunoregulation Section,Molecular Entomology Unit,0.1473429951690821
Structural Informatics Unit,Genomic Technologies Section,0.14728682170542637
Neuroimmunological Diseases Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.14719626168224298
Translational Mycology Section,Lymphocyte Activation Section,0.14719173660426083
Lymphocyte Activation Section,Genomic Technologies Section,0.1471014492753623
TSE/Prion and Retroviral Pathogenesis Section,Integrative Immunobiology Section,0.14705882352941177
Nonhuman Primate Virology Section,Infectious Disease Fellowship Training Program,0.14701803051317613
Scientist Emerita,Immunobiology and Molecular Virology Unit,0.14698162729658792
Viral Immunity and Pathogenesis Unit,Genetic Immunotherapy Section,0.14697802197802198
Viral Pathogenesis Section (Laboratory of Viral Diseases),Multiscale Systems Biology Section,0.14697406340057637
Viral Biology Section,Mucosal Immunity Section,0.14694656488549618
LID Clinical Studies Unit,Apicomplexan Molecular Physiology Section,0.14689265536723164
Nonhuman Primate Virology Section,Immune Deficiency Genetics Section,0.14689265536723164
Lyme Disease Studies Unit,Antibacterial Host Defense Unit,0.14685314685314685
Structural Virology Section,Immunobiology Section,0.1468189233278956
Prion Cell Biology Unit,Multiscale Systems Biology Section,0.14678899082568808
Viral Pathogenesis Section (Laboratory of Viral Diseases),Integrative Immunobiology Section,0.14678899082568808
Translational Immunobiology Unit,Computational Biology Unit,0.14675767918088736
Signaling Systems Section,RNA Viruses Section,0.14673913043478262
Pathology Core,Apicomplexan Molecular Physiology Section,0.14666666666666667
Research Technology Branch,Host-Pathogen Interactions and Structural Vaccinology Section,0.14666666666666667
T-Cell Tolerance and Memory Section,Molecular HIV Host Interactions Section,0.14666666666666667
Translational Allergic Immunopathology Unit,Molecular Entomology Unit,0.14666666666666667
Translational Autoinflammatory Disease Studies Unit,Antibacterial Host Defense Unit,0.14666666666666667
Multiscale Systems Biology Section,Immune Activation Section,0.14661654135338345
Multiscale Systems Biology Section,Molecular Signaling Section,0.14661654135338345
RML Microscopy Unit,Building 33,0.14661654135338345
Viral Pathogenesis Section (Laboratory of Immunoregulation),Food Allergy Research Section,0.14659685863874344
TSE/Prion Molecular Biology Section,Emerging Respiratory Viruses Section,0.14654282765737875
TSE/Prion Molecular Biology Section,Medical Virology Section,0.14654282765737875
Host-Pathogen Interactions and Structural Vaccinology Section,Functional Cellular Networks Section,0.14652014652014653
Twinbrook Imaging Facility,Nonhuman Primate Virology Section,0.14646464646464646
Multiscale Systems Biology Section,Mucosal Immunity Section,0.14645308924485126
Molecular and Cellular Immunoregulation Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.14642857142857144
Vector Biology Section,Innate Immunity and Pathogenesis Section,0.14641434262948208
Computational Biology Unit,Clinical Research Section,0.14634146341463414
Office of the Animal Program Director,Biological Imaging,0.14634146341463414
Translational Immunobiology Unit,Tick-Pathogen Transmission Unit,0.14634146341463414
Viral Pathogenesis Section (Laboratory of Viral Diseases),Food Allergy Research Section,0.14634146341463414
Virus Ecology Section,Flow Cytometry Section,0.1462882096069869
Genetic Engineering Section,Gene Regulation Section,0.1462857142857143
Lyme Disease Studies Unit,DNA Tumor Virus Section,0.14628297362110312
Neuroimmunology Unit,Disease Modeling and Transmission Section,0.14625850340136054
Nonhuman Primate Virology Section,Lung and Vascular Inflammation Section,0.14620689655172414
Molecular HIV Host Interactions Section,Hepatic Pathogenesis Section,0.14619883040935672
Pathogenesis and Immunity Section,Inflammation Biology Section,0.14617618586640851
Vaccine Development Unit,Inflammation Biology Section,0.14617618586640851
Coxiella Pathogenesis Section,Antibacterial Host Defense Unit,0.14615384615384616
Molecular Parasitology and Entomology Unit,Chlamydial Diseases Section,0.1461187214611872
RML Genomics Unit,Integrative Immunobiology Section,0.1461038961038961
Vector Biology Section,Cell Signaling and Immunity Section,0.14609800362976408
Physiology Unit,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.14609571788413098
Genetic Engineering Section,B-Cell Immunology Section,0.14609286523216308
Gene Regulation Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.14609053497942387
Molecular Pathology Section,Cellular Immunology Section,0.14606741573033707
Translational Mycology Section,Translational Allergic Immunopathology Unit,0.1460446247464503
Scientist Emerita,Plague Section,0.14603174603174604
Viral Pathogenesis and Evolution Section,Hepatic Pathogenesis Section,0.146
Systems Genomics Section,Inflammation Biology Section,0.145985401459854
Translational Allergic Immunopathology Unit,Genetic Immunotherapy Section,0.14597544338335608
Molecular Development of the Immune System Section,Food Allergy Research Section,0.14596949891067537
Nonhuman Primate Virology Section,Flow Cytometry Section,0.14594594594594595
Salmonella-Host Cell Interactions Section,Building 33,0.1459227467811159
Hepatic Pathogenesis Section,Emerging Virus Immunity Unit,0.14588235294117646
Mast Cell Biology Section,Malaria Genetics Section,0.14588100686498856
Pathogenesis and Immunity Section,Innate Immunity and Pathogenesis Section,0.14587737843551796
Vaccine Development Unit,Innate Immunity and Pathogenesis Section,0.14587737843551796
Viral Immunology Section,Mast Cell Biology Section,0.14586583463338534
Translational Allergic Immunopathology Unit,Physiology Unit,0.14583333333333334
Molecular Pathology Section,Immunobiology and Molecular Virology Unit,0.1457905544147844
Infectious Disease Fellowship Training Program,Antibacterial Host Defense Unit,0.1457725947521866
Lymphocyte Activation Section,International HIV/STD Section,0.145769622833843
Computational Biology Unit,Barrier Immunity Section,0.14575645756457564
Primary Immune Deficiency Clinic,Allergy and Immunology Clinical Training Program,0.145748987854251
Translational Allergic Immunopathology Unit,Neuroimmunological Diseases Section,0.1457286432160804
Viral Budding Unit,Malaria Cell Biology Section,0.14570858283433133
Viral Pathogenesis and Vaccine Section,Malaria Genetics Section,0.14570230607966456
Human Immunological Diseases Section,Coxiella Pathogenesis Section,0.145679012345679
TSE/Prion Molecular Biology Section,Genetic Engineering Section,0.14566473988439307
Malaria Functional Genomics Section,Cellular Immunology Section,0.14560770156438027
Immune Deficiency Genetics Section,Fungal Pathogenesis Section,0.14560439560439561
Integrative Immunobiology Section,Immunobiology and Molecular Virology Unit,0.14560439560439561
Integrative Immunobiology Section,DNA Tumor Virus Section,0.1455223880597015
Translational Mycology Section,Hepatic Pathogenesis Section,0.14549180327868852
Human Eosinophil Section,DNA Tumor Virus Section,0.14548802946593
Lyme Disease Studies Unit,Helminth Immunology Section,0.14548641542506574
Physiology Unit,Molecular Parasitology and Entomology Unit,0.14545454545454545
Viral Budding Unit,Apicomplexan Molecular Physiology Section,0.14537444933920704
Inflammation Biology Section,Disease Modeling and Transmission Section,0.14530612244897959
Signaling Systems Section,Gene Regulation Section,0.14527027027027026
T-Cell Tolerance and Memory Section,Plague Section,0.14527027027027026
Tick-Pathogen Transmission Unit,Lyme Disease Studies Unit,0.14527027027027026
Research Technology Branch,Autoimmunity and Functional Genomics Section,0.1452513966480447
Genomic Technologies Section,Disease Modeling and Transmission Section,0.14524207011686144
Immunobiology and Molecular Virology Unit,Food Allergy Research Section,0.14520547945205478
Mucosal Immunity Section,Apicomplexan Molecular Physiology Section,0.14519427402862986
Viral Biochemistry Section,Multiscale Systems Biology Section,0.14516129032258066
Infectious Disease Pathogenesis Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.14513274336283186
Translational Autoinflammatory Disease Studies Unit,Infectious Disease Pathogenesis Section,0.14511041009463724
RML Microscopy Unit,Human Immunological Diseases Section,0.14504504504504503
Pathogenesis and Immunity Section,Neuroimmunology Unit,0.14503042596348883
Vaccine Development Unit,Neuroimmunology Unit,0.14503042596348883
Viral Biology Section,Pathogenesis and Immunity Section,0.14503042596348883
Viral Biology Section,Vaccine Development Unit,0.14503042596348883
Tuberculosis Research Section,B-Cell Immunology Section,0.1450189155107188
Salmonella-Host Cell Interactions Section,Pathogenesis and Immunity Section,0.14501510574018128
Vaccine Development Unit,Salmonella-Host Cell Interactions Section,0.14501510574018128
Computational Biology Unit,Antibody Biology Unit,0.14492753623188406
Neuroimmunological Diseases Section,Innate Immunity and Pathogenesis Section,0.14489311163895488
Malaria Infection Biology and Immunity Unit,Genetic Immunotherapy Section,0.14487179487179488
T-Cell Tolerance and Memory Section,Biology of Vector-Borne Viruses Section,0.14485981308411214
Lymphocyte Activation Section,Lung and Vascular Inflammation Section,0.1448087431693989
T-Lymphocyte Biology Section,Research Technology Branch,0.14479638009049775
Mast Cell Biology Section,Malaria Functional Genomics Section,0.14478764478764478
RNA Viruses Section,Lung and Vascular Inflammation Section,0.14478764478764478
Molecular Entomology Unit,Malaria Immunology Section,0.14475431606905712
Molecular Parasitology and Entomology Unit,Molecular Biology Section,0.14473684210526316
Viral Pathogenesis Section (Laboratory of Immunoregulation),T-Cell Tolerance and Memory Section,0.14473684210526316
Infectious Disease Fellowship Training Program,Barrier Immunity Section,0.14468085106382977
Signaling Systems Section,Quantitative Virology and Evolution Unit,0.14465408805031446
Pathology Core,Malaria Immunology Section,0.14463840399002495
TSE/Prion Biochemistry Section,Epithelial Therapeutics Unit,0.1446280991735537
Cell Signaling and Immunity Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.14462081128747795
Viral Biochemistry Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.1446028513238289
Tuberculosis Research Section,Molecular Pathology Section,0.1445929526123937
TSE/Prion and Retroviral Pathogenesis Section,Intracellular Parasite Biology Section,0.14455917394757745
International HIV/STD Section,Cellular Immunology Section,0.1445553970518307
Malaria Infection Biology and Immunity Unit,Malaria Genetics Section,0.1445221445221445
Viral Budding Unit,Scientist Emerita,0.14450867052023122
Primary Immune Deficiency Clinic,Antibacterial Host Defense Unit,0.1444866920152091
Physiology Unit,B-Cell Molecular Immunology Section,0.14447592067988668
Genetic Immunotherapy Section,Genetic Engineering Section,0.14446952595936793
RML Microscopy Unit,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.14446793516560957
Molecular Microbiology Section,Computational Biology Unit,0.14442413162705667
TSE/Prion and Retroviral Pathogenesis Section,Signaling Systems Section,0.1444141689373297
Viral Pathogenesis and Evolution Section,Lymphocyte Activation Section,0.14440894568690096
