section_a,section_b,project_cat_similarity
Physiology Unit,Immune Deficiency Genetics Section,0.14545454545454545
T-Cell Tolerance and Memory Section,Autoimmunity and Functional Genomics Section,0.14545454545454545
Translational Autoinflammatory Disease Studies Unit,Lyme Disease Studies Unit,0.14545454545454545
Virus Ecology Section,Cell Signaling and Immunity Section,0.14545454545454545
Primary Immune Deficiency Clinic,Lymphocyte Activation Section,0.1452991452991453
Viral Pathogenesis and Evolution Section,Systems Genomics Section,0.1452991452991453
Molecular Development of the Immune System Section,Coxiella Pathogenesis Section,0.14516129032258066
Molecular Microbiology Section,Integrative Immunobiology Section,0.14516129032258066
Multiscale Systems Biology Section,Molecular Pathogenesis and Biomarkers Section,0.14516129032258066
Pathogen Molecular Genetics Section,Lymphocyte Activation Section,0.14516129032258066
Structural Biology Section,Immunobiology Section,0.14516129032258066
Viral Pathogenesis and Vaccine Section,Genetic Immunotherapy Section,0.14516129032258066
Virus Ecology Section,Clinical and Molecular Retrovirology Section,0.14516129032258066
Molecular Pathology Section,Molecular HIV Host Interactions Section,0.1450381679389313
Immune Deficiency Genetics Section,DNA Tumor Virus Section,0.14492753623188406
Immunity to Pulmonary Pathogens Section,Immune Activation Section,0.14492753623188406
Lyme Disease Studies Unit,Immune Activation Section,0.14492753623188406
Metaorganism Immunity Section,Computational Biology Unit,0.14492753623188406
Molecular Signaling Section,Immunity to Pulmonary Pathogens Section,0.14492753623188406
Molecular Signaling Section,Lyme Disease Studies Unit,0.14492753623188406
TSE/Prion Biochemistry Section,Lymphocyte Biology Section,0.14492753623188406
Malaria Genetics Section,Integrative Immunobiology Section,0.14457831325301204
Immune Deficiency Genetics Section,Clinical and Molecular Retrovirology Section,0.14444444444444443
Immunopathogenesis Section (Laboratory of Immunoregulation),Epidemiology and Population Studies Unit,0.14444444444444443
Molecular Pathogenesis and Biomarkers Section,Molecular Microbiology Section,0.14444444444444443
TSE/Prion Molecular Biology Section,Malaria Immunology Section,0.14444444444444443
TSE/Prion Molecular Biology Section,Nonhuman Primate Virology Section,0.14444444444444443
Vector Biology Section,TSE/Prion Biochemistry Section,0.14432989690721648
TSE/Prion and Retroviral Pathogenesis Section,HIV-Specific Immunity Section,0.14423076923076922
Structural Virology Section,Clinical Pathophysiology Section,0.14414414414414414
Structural Virology Section,Pathogen-Host Cell Biology Section,0.14414414414414414
TSE/Prion Biochemistry Section,Mucosal Immunity Section,0.14414414414414414
Viral Pathogenesis Section (Laboratory of Immunoregulation),Lymphocyte Activation Section,0.14414414414414414
Molecular Biology Section,Human Immunological Diseases Section,0.1440677966101695
TSE/Prion Molecular Biology Section,Metaorganism Immunity Section,0.1440677966101695
Translational Autoinflammatory Disease Studies Unit,Molecular Development of the Immune System Section,0.1440677966101695
Disease Modeling and Transmission Section,Caliciviruses Section,0.144
Systems Genomics Section,Disease Modeling and Transmission Section,0.144
TSE/Prion and Retroviral Pathogenesis Section,Helminth Immunology Section,0.144
Vector Molecular Biology Section,Genetic Immunotherapy Section,0.144
Viral Pathogenesis and Evolution Section,Mucosal Immunobiology Section,0.144
International HIV/STD Section,B-Cell Immunology Section,0.14393939393939395
International HIV/STD Section,Infectious Disease Fellowship Training Program,0.14393939393939395
Plague Section,Mast Cell Biology Section,0.14393939393939395
Systems Genomics Section,International HIV/STD Section,0.14393939393939395
T-Cell Tolerance and Memory Section,International HIV/STD Section,0.14383561643835616
Genetic Immunotherapy Section,Cellular Biology Section,0.14367816091954022
B-Cell Molecular Immunology Section,Apicomplexan Molecular Physiology Section,0.14285714285714285
Clinical Pathophysiology Section,Barrier Immunity Section,0.14285714285714285
Computational Biology Unit,Chlamydial Diseases Section,0.14285714285714285
DNA Tumor Virus Section,Clinical Pathophysiology Section,0.14285714285714285
Epithelial Therapeutics Unit,Autoimmunity and Functional Genomics Section,0.14285714285714285
Genetic Immunotherapy Section,Caliciviruses Section,0.14285714285714285
HIV Pathogenesis Section,B-Cell Immunology Section,0.14285714285714285
HIV Pathogenesis Section,Chemotaxis Signal Section,0.14285714285714285
Hepatic Pathogenesis Section,Barrier Immunity Section,0.14285714285714285
Host-Parasite Interactions Section,Coxiella Pathogenesis Section,0.14285714285714285
Human Eosinophil Section,Barrier Immunity Section,0.14285714285714285
Human Eosinophil Section,Clinical Pathophysiology Section,0.14285714285714285
Immune Activation Section,Epithelial Therapeutics Unit,0.14285714285714285
Immune Deficiency Genetics Section,Food Allergy Research Section,0.14285714285714285
Immune Deficiency Genetics Section,Gene Regulation Section,0.14285714285714285
Immune Deficiency Genetics Section,Genetic Engineering Section,0.14285714285714285
Infectious Disease Fellowship Training Program,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.14285714285714285
Infectious Disease Fellowship Training Program,Clinical Research Section,0.14285714285714285
Innate Immunity and Pathogenesis Section,Computational Biology Unit,0.14285714285714285
Innate Immunity and Pathogenesis Section,HIV Pathogenesis Section,0.14285714285714285
Integrative Immunobiology Section,Antibacterial Host Defense Unit,0.14285714285714285
Lung and Vascular Inflammation Section,Chemotaxis Signal Section,0.14285714285714285
Lyme Disease Studies Unit,Apicomplexan Molecular Physiology Section,0.14285714285714285
Malaria Cell Biology Section,Cell Signaling and Immunity Section,0.14285714285714285
Malaria Functional Genomics Section,HIV Pathogenesis Section,0.14285714285714285
Malaria Immunology Section,Inflammation Biology Section,0.14285714285714285
Molecular Biology Section,Epithelial Therapeutics Unit,0.14285714285714285
Molecular Defenses Section,Epithelial Therapeutics Unit,0.14285714285714285
Molecular Genetics Section (Laboratory of Viral Diseases),Innate Immunity and Pathogenesis Section,0.14285714285714285
Molecular Microbiology Section,Biology of Vector-Borne Viruses Section,0.14285714285714285
Molecular Parasitology Section,Antibacterial Host Defense Unit,0.14285714285714285
Molecular Pathogenesis and Biomarkers Section,Autoimmunity and Functional Genomics Section,0.14285714285714285
Molecular Pathology Section,Host-Parasite Interactions Section,0.14285714285714285
Molecular Signaling Section,Epithelial Therapeutics Unit,0.14285714285714285
Molecular and Cellular Immunology Section,Malaria Functional Genomics Section,0.14285714285714285
Molecular and Cellular Immunology Section,Molecular Development of the Immune System Section,0.14285714285714285
Molecular and Cellular Immunoregulation Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.14285714285714285
Molecular and Cellular Immunoregulation Section,Molecular and Cellular Immunology Section,0.14285714285714285
Mosquito Immunity and Vector Competence Section,Host-Parasite Interactions Section,0.14285714285714285
Mucosal Immunity Section,Cellular Biology Section,0.14285714285714285
Nonhuman Primate Virology Section,Inflammation Biology Section,0.14285714285714285
Pathogen-Host Cell Biology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.14285714285714285
Physiology Unit,Clinical Pathophysiology Section,0.14285714285714285
Quantitative Virology and Evolution Unit,Coxiella Pathogenesis Section,0.14285714285714285
Quantitative Virology and Evolution Unit,Mosquito Immunity and Vector Competence Section,0.14285714285714285
Salmonella-Host Cell Interactions Section,Epithelial Therapeutics Unit,0.14285714285714285
Signaling Systems Section,Inflammation & Innate Immunity Unit,0.14285714285714285
Signaling Systems Section,Innate Immunity and Pathogenesis Section,0.14285714285714285
Structural Biology Section,Antibacterial Host Defense Unit,0.14285714285714285
Structural Immunology Section,Inflammation Biology Section,0.14285714285714285
Structural Informatics Unit,Antibacterial Host Defense Unit,0.14285714285714285
Structural Informatics Unit,Molecular Defenses Section,0.14285714285714285
Structural Virology Section,Cellular Biology Section,0.14285714285714285
Structural Virology Section,Gene Regulation Section,0.14285714285714285
Systems Genomics Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.14285714285714285
Systems Genomics Section,Clinical Research Section,0.14285714285714285
Systems Genomics Section,HIV Pathogenesis Section,0.14285714285714285
T-Lymphocyte Biology Section,Infectious Disease Fellowship Training Program,0.14285714285714285
T-Lymphocyte Biology Section,Molecular and Cellular Immunoregulation Section,0.14285714285714285
T-Lymphocyte Biology Section,Scientist Emerita,0.14285714285714285
TSE/Prion Molecular Biology Section,Infectious Disease Fellowship Training Program,0.14285714285714285
TSE/Prion Molecular Biology Section,Intracellular Parasite Biology Section,0.14285714285714285
TSE/Prion Molecular Biology Section,Molecular and Cellular Immunoregulation Section,0.14285714285714285
TSE/Prion and Retroviral Pathogenesis Section,Mosquito Immunity and Vector Competence Section,0.14285714285714285
TSE/Prion and Retroviral Pathogenesis Section,Multiscale Systems Biology Section,0.14285714285714285
Translational Allergic Immunopathology Unit,Fungal Pathogenesis Section,0.14285714285714285
Translational Autoinflammatory Disease Studies Unit,HIV-Specific Immunity Section,0.14285714285714285
Translational Autoinflammatory Disease Studies Unit,Integrative Immunobiology Section,0.14285714285714285
Translational Autoinflammatory Disease Studies Unit,Mucosal Immunobiology Section,0.14285714285714285
Translational Mycology Section,Structural Biology Section,0.14285714285714285
Translational Mycology Section,Structural Informatics Unit,0.14285714285714285
Tuberculosis Research Section,Neuroimmunology Unit,0.14285714285714285
Type 2 Immunity Section,Barrier Immunity Section,0.14285714285714285
Type 2 Immunity Section,Cell Signaling and Immunity Section,0.14285714285714285
Vector Biology Section,Food Allergy Research Section,0.14285714285714285
Vector Molecular Biology Section,Inflammation Biology Section,0.14285714285714285
Vector-Pathogen-Host Interaction Unit,Computational Biology Unit,0.14285714285714285
Vector-Pathogen-Host Interaction Unit,Signaling Systems Section,0.14285714285714285
Vector-Pathogen-Host Interaction Unit,T-Lymphocyte Biology Section,0.14285714285714285
Viral Biochemistry Section,B-Cell Immunology Section,0.14285714285714285
Viral Biochemistry Section,Infectious Disease Fellowship Training Program,0.14285714285714285
Viral Biochemistry Section,Innate Immunity and Pathogenesis Section,0.14285714285714285
Viral Biochemistry Section,Intracellular Parasite Biology Section,0.14285714285714285
Viral Biochemistry Section,Malaria Functional Genomics Section,0.14285714285714285
Viral Biochemistry Section,Malaria Infection Biology and Immunity Unit,0.14285714285714285
Viral Biochemistry Section,T-Cell Tolerance and Memory Section,0.14285714285714285
Viral Biology Section,Computational Biology Unit,0.14285714285714285
Viral Biology Section,HIV Pathogenesis Section,0.14285714285714285
Viral Budding Unit,Host-Parasite Interactions Section,0.14285714285714285
Viral Budding Unit,Mosquito Immunity and Vector Competence Section,0.14285714285714285
Viral Budding Unit,Multiscale Systems Biology Section,0.14285714285714285
Viral Immunology Section,Functional Cellular Networks Section,0.14285714285714285
Viral Immunology Section,Molecular Development of the Immune System Section,0.14285714285714285
Viral Immunology Section,Scientist Emerita,0.14285714285714285
Viral Immunology Section,Systems Genomics Section,0.14285714285714285
Viral Pathogenesis Section (Laboratory of Immunoregulation),Hepatic Pathogenesis Section,0.14285714285714285
Viral Pathogenesis and Vaccine Section,Pathogen-Host Cell Biology Section,0.14285714285714285
Viral Pathogenesis and Vaccine Section,Type 2 Immunity Section,0.14285714285714285
Neuroimmunology Unit,Emerging Respiratory Viruses Section,0.1423076923076923
Neuroimmunology Unit,Medical Virology Section,0.1423076923076923
Nonhuman Primate Virology Section,Malaria Cell Biology Section,0.14204545454545456
Molecular Microbiology Section,International HIV/STD Section,0.14193548387096774
Molecular HIV Host Interactions Section,Epidemiology and Population Studies Unit,0.14173228346456693
Retroviral Immunology Section,Genetic Immunotherapy Section,0.14173228346456693
TSE/Prion Biochemistry Section,Cellular Biology Section,0.14173228346456693
Lymphocyte Activation Section,Caliciviruses Section,0.14166666666666666
Lymphocyte Activation Section,Infectious Disease Fellowship Training Program,0.14166666666666666
Multiscale Systems Biology Section,Disease Modeling and Transmission Section,0.14166666666666666
Systems Genomics Section,Lymphocyte Activation Section,0.14166666666666666
Viral Pathogenesis and Evolution Section,Salmonella-Host Cell Interactions Section,0.14166666666666666
Lymphocyte Activation Section,Chemotaxis Signal Section,0.1415929203539823
Lymphocyte Activation Section,Functional Cellular Networks Section,0.1415929203539823
Molecular and Cellular Immunoregulation Section,Lymphocyte Activation Section,0.1415929203539823
Scientist Emerita,Lymphocyte Activation Section,0.1415929203539823
Mucosal Immunity Section,Immunity to Pulmonary Pathogens Section,0.1414141414141414
Structural Virology Section,Functional Cellular Networks Section,0.1414141414141414
Structural Virology Section,Malaria Functional Genomics Section,0.1414141414141414
Salmonella-Host Cell Interactions Section,Malaria Genetics Section,0.14130434782608695
Metaorganism Immunity Section,Hepatic Pathogenesis Section,0.1411764705882353
TSE/Prion and Retroviral Pathogenesis Section,Immune Activation Section,0.1411764705882353
TSE/Prion and Retroviral Pathogenesis Section,Molecular Signaling Section,0.1411764705882353
Viral Pathogenesis Section (Laboratory of Viral Diseases),DNA Tumor Virus Section,0.1411764705882353
Gene Regulation Section,Clinical and Molecular Retrovirology Section,0.14102564102564102
LID Clinical Studies Unit,Clinical Research Section,0.14102564102564102
Molecular and Cellular Immunology Section,Molecular Pathogenesis and Biomarkers Section,0.14102564102564102
Mucosal Immunity Section,Molecular and Cellular Immunoregulation Section,0.14102564102564102
TSE/Prion Biochemistry Section,Gene Regulation Section,0.14102564102564102
Pathogenesis and Immunity Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.1409921671018277
Vaccine Development Unit,Immunopathogenesis Section (Laboratory of Immunoregulation),0.1409921671018277
Molecular Pathogenesis and Biomarkers Section,Mast Cell Biology Section,0.14093959731543623
International HIV/STD Section,Immune Activation Section,0.14084507042253522
Metaorganism Immunity Section,Human Eosinophil Section,0.14084507042253522
Molecular Signaling Section,International HIV/STD Section,0.14084507042253522
Signaling Systems Section,Molecular Pathogenesis and Biomarkers Section,0.14084507042253522
TSE/Prion and Retroviral Pathogenesis Section,Molecular Genetics Section (Laboratory of Bacteriology),0.14084507042253522
Viral Pathogenesis Section (Laboratory of Viral Diseases),Viral Pathogenesis Section (Laboratory of Immunoregulation),0.14084507042253522
Human Immunological Diseases Section,Clinical and Molecular Retrovirology Section,0.14074074074074075
Molecular Defenses Section,Disease Modeling and Transmission Section,0.14074074074074075
Mucosal Immunobiology Section,Mast Cell Biology Section,0.14074074074074075
HIV-Specific Immunity Section,Computational Biology Unit,0.140625
Molecular Genetics Section (Laboratory of Viral Diseases),HIV-Specific Immunity Section,0.140625
Molecular Microbiology Section,Antibacterial Host Defense Unit,0.140625
Molecular Microbiology Section,Autoimmunity and Functional Genomics Section,0.140625
Translational Mycology Section,Neuroimmunological Diseases Section,0.140625
Molecular Pathology Section,Lymphocyte Biology Section,0.14049586776859505
Type 2 Immunity Section,Molecular Development of the Immune System Section,0.14049586776859505
Hepatic Pathogenesis Section,Gene Regulation Section,0.14035087719298245
Human Immunological Diseases Section,Hepatic Pathogenesis Section,0.14035087719298245
Neuroimmunology Unit,Molecular and Cellular Immunoregulation Section,0.14035087719298245
Pathogen-Host Cell Biology Section,Nonhuman Primate Virology Section,0.14035087719298245
Vector Molecular Biology Section,DNA Tumor Virus Section,0.14035087719298245
Viral Biology Section,Vector Biology Section,0.14035087719298245
Viral Immunology Section,Structural Biology Section,0.14035087719298245
Viral Pathogenesis and Evolution Section,T-Lymphocyte Biology Section,0.14035087719298245
Tuberculosis Research Section,Lyme Disease Studies Unit,0.1402439024390244
Mosquito Immunity and Vector Competence Section,Lymphocyte Biology Section,0.14018691588785046
Viral Pathogenesis and Vaccine Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.14018691588785046
Lung and Vascular Inflammation Section,Epithelial Therapeutics Unit,0.14
Lung and Vascular Inflammation Section,LID Clinical Studies Unit,0.14
Malaria Cell Biology Section,Immunobiology Section,0.14
Molecular Pathology Section,Antibacterial Host Defense Unit,0.14
Molecular Pathology Section,Clinical Research Section,0.14
Structural Immunology Section,Microbial Pathogenesis Section,0.14
Type 2 Immunity Section,Nonhuman Primate Virology Section,0.14
Viral Biology Section,Immune Deficiency Genetics Section,0.14
Food Allergy Research Section,Clinical Pathophysiology Section,0.13953488372093023
Fungal Pathogenesis Section,Chlamydial Diseases Section,0.13953488372093023
Inflammation Biology Section,Caliciviruses Section,0.13953488372093023
Intracellular Parasite Biology Section,Inflammation Biology Section,0.13953488372093023
Malaria Immunology Section,Human Eosinophil Section,0.13953488372093023
Mast Cell Biology Section,Coxiella Pathogenesis Section,0.13953488372093023
Molecular Biology Section,Host-Parasite Interactions Section,0.13953488372093023
Mucosal Immunobiology Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.13953488372093023
Pathogen Molecular Genetics Section,Malaria Functional Genomics Section,0.13953488372093023
Structural Immunology Section,Hepatic Pathogenesis Section,0.13953488372093023
Structural Informatics Unit,Molecular and Cellular Immunology Section,0.13953488372093023
T-Cell Tolerance and Memory Section,Fungal Pathogenesis Section,0.13953488372093023
TSE/Prion Biochemistry Section,Lyme Disease Studies Unit,0.13953488372093023
TSE/Prion Biochemistry Section,T-Cell Tolerance and Memory Section,0.13953488372093023
Lymphocyte Biology Section,Immune Activation Section,0.13934426229508196
Molecular Signaling Section,Lymphocyte Biology Section,0.13934426229508196
Mucosal Immunity Section,Integrative Immunobiology Section,0.13924050632911392
TSE/Prion Molecular Biology Section,Biology of Vector-Borne Viruses Section,0.13924050632911392
TSE/Prion Molecular Biology Section,Genetic Immunotherapy Section,0.13924050632911392
TSE/Prion Molecular Biology Section,Multiscale Systems Biology Section,0.13924050632911392
Lymphocyte Activation Section,Biology of Vector-Borne Viruses Section,0.1391304347826087
Viral Pathogenesis and Evolution Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.1391304347826087
Neuroimmunology Unit,International HIV/STD Section,0.1390728476821192
Lymphocyte Biology Section,Antibacterial Host Defense Unit,0.1388888888888889
Metaorganism Immunity Section,Food Allergy Research Section,0.1388888888888889
Mucosal Immunity Section,Epithelial Therapeutics Unit,0.1388888888888889
Pathogen Molecular Genetics Section,Malaria Infection Biology and Immunity Unit,0.1388888888888889
Pathogen Molecular Genetics Section,Molecular Pathogenesis and Biomarkers Section,0.1388888888888889
Salmonella-Host Cell Interactions Section,Host-Parasite Interactions Section,0.1388888888888889
Signaling Systems Section,LID Clinical Studies Unit,0.1388888888888889
TSE/Prion and Retroviral Pathogenesis Section,T-Lymphocyte Biology Section,0.1388888888888889
Translational Autoinflammatory Disease Studies Unit,Multiscale Systems Biology Section,0.1388888888888889
Vector-Pathogen-Host Interaction Unit,Epidemiology and Population Studies Unit,0.1388888888888889
Vector-Pathogen-Host Interaction Unit,Immunopathogenesis Section (Laboratory of Immunoregulation),0.1388888888888889
Vector-Pathogen-Host Interaction Unit,Pathogen Molecular Genetics Section,0.1388888888888889
Viral Biochemistry Section,Mucosal Immunobiology Section,0.1388888888888889
Viral Biochemistry Section,Retroviral Immunology Section,0.1388888888888889
Viral Biology Section,Epidemiology and Population Studies Unit,0.1388888888888889
TSE/Prion Molecular Biology Section,Emerging Respiratory Viruses Section,0.1387900355871886
TSE/Prion Molecular Biology Section,Medical Virology Section,0.1387900355871886
Molecular Development of the Immune System Section,Lyme Disease Studies Unit,0.1386861313868613
Scientist Emerita,Microbial Pathogenesis Section,0.13861386138613863
Structural Virology Section,Biology of Vector-Borne Viruses Section,0.13861386138613863
Epidemiology and Population Studies Unit,Disease Modeling and Transmission Section,0.13846153846153847
T-Cell Tolerance and Memory Section,DNA Tumor Virus Section,0.13846153846153847
Vector Biology Section,Integrative Immunobiology Section,0.13846153846153847
Viral Pathogenesis and Vaccine Section,Lyme Disease Studies Unit,0.13846153846153847
Virus Ecology Section,HIV-Specific Immunity Section,0.13846153846153847
Tuberculosis Research Section,Molecular Pathology Section,0.13836477987421383
Infectious Disease Fellowship Training Program,Genetic Engineering Section,0.13829787234042554
Molecular Parasitology Section,DNA Tumor Virus Section,0.13829787234042554
Scientist Emerita,Cellular Biology Section,0.13829787234042554
Type 2 Immunity Section,Helminth Immunology Section,0.13829787234042554
Systems Genomics Section,Molecular HIV Host Interactions Section,0.13821138211382114
Tuberculosis Research Section,Coxiella Pathogenesis Section,0.13815789473684212
International HIV/STD Section,Genetic Engineering Section,0.13812154696132597
Fungal Pathogenesis Section,B-Cell Molecular Immunology Section,0.13793103448275862
Fungal Pathogenesis Section,Caliciviruses Section,0.13793103448275862
HIV Immunovirology Section,Functional Cellular Networks Section,0.13793103448275862
Host-Parasite Interactions Section,Antibacterial Host Defense Unit,0.13793103448275862
Host-Parasite Interactions Section,Autoimmunity and Functional Genomics Section,0.13793103448275862
Human Eosinophil Section,Helminth Immunology Section,0.13793103448275862
Immune Deficiency Genetics Section,Emerging Respiratory Viruses Section,0.13793103448275862
Innate Immunity and Pathogenesis Section,Clinical and Molecular Retrovirology Section,0.13793103448275862
Malaria Infection Biology and Immunity Unit,Inflammation Biology Section,0.13793103448275862
Medical Virology Section,Immune Deficiency Genetics Section,0.13793103448275862
Molecular Development of the Immune System Section,Chemotaxis Signal Section,0.13793103448275862
Molecular Genetics Section (Laboratory of Bacteriology),Host-Parasite Interactions Section,0.13793103448275862
Molecular Genetics Section (Laboratory of Viral Diseases),Integrative Immunobiology Section,0.13793103448275862
Primary Immune Deficiency Clinic,Malaria Infection Biology and Immunity Unit,0.13793103448275862
Structural Biology Section,Apicomplexan Molecular Physiology Section,0.13793103448275862
Structural Immunology Section,Human Eosinophil Section,0.13793103448275862
TSE/Prion and Retroviral Pathogenesis Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.13793103448275862
Translational Mycology Section,Host-Parasite Interactions Section,0.13793103448275862
Type 2 Immunity Section,Immunity to Pulmonary Pathogens Section,0.13793103448275862
Vector Biology Section,LID Clinical Studies Unit,0.13793103448275862
Vector-Pathogen-Host Interaction Unit,Host-Pathogen Interactions and Structural Vaccinology Section,0.13793103448275862
Vector-Pathogen-Host Interaction Unit,Inflammation Biology Section,0.13793103448275862
Viral Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.13793103448275862
Virus Ecology Section,Molecular and Cellular Immunoregulation Section,0.13793103448275862
Neuroimmunology Unit,Genetic Immunotherapy Section,0.13768115942028986
Intracellular Parasite Biology Section,Human Immunological Diseases Section,0.13761467889908258
Neuroimmunological Diseases Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.13761467889908258
Metaorganism Immunity Section,Infectious Disease Fellowship Training Program,0.1375
Mucosal Immunity Section,Biology of Vector-Borne Viruses Section,0.1375
Mucosal Immunity Section,Mosquito Immunity and Vector Competence Section,0.1375
Pathogen-Host Cell Biology Section,HIV-Specific Immunity Section,0.1375
Viral Pathogenesis Section (Laboratory of Viral Diseases),Systems Genomics Section,0.1375
Signaling Systems Section,Mast Cell Biology Section,0.13740458015267176
Human Eosinophil Section,Chlamydial Diseases Section,0.13725490196078433
Infectious Disease Fellowship Training Program,DNA Tumor Virus Section,0.13725490196078433
Innate Immunity and Pathogenesis Section,Cell Signaling and Immunity Section,0.13725490196078433
Lung and Vascular Inflammation Section,Host-Parasite Interactions Section,0.13725490196078433
Lymphocyte Biology Section,Computational Biology Unit,0.13725490196078433
Malaria Infection Biology and Immunity Unit,Cell Signaling and Immunity Section,0.13725490196078433
Molecular Defenses Section,Autoimmunity and Functional Genomics Section,0.13725490196078433
Molecular Pathology Section,Apicomplexan Molecular Physiology Section,0.13725490196078433
Neuroimmunology Unit,Epithelial Therapeutics Unit,0.13725490196078433
Neuroimmunology Unit,LID Clinical Studies Unit,0.13725490196078433
Pathogen-Host Cell Biology Section,Intracellular Parasite Biology Section,0.13725490196078433
Physiology Unit,Lyme Disease Studies Unit,0.13725490196078433
Primary Immune Deficiency Clinic,Mucosal Immunobiology Section,0.13725490196078433
Structural Informatics Unit,Neuroimmunology Unit,0.13725490196078433
Structural Virology Section,Antibacterial Host Defense Unit,0.13725490196078433
Systems Genomics Section,DNA Tumor Virus Section,0.13725490196078433
Translational Autoinflammatory Disease Studies Unit,Molecular Biology Section,0.13725490196078433
Translational Autoinflammatory Disease Studies Unit,Molecular Defenses Section,0.13725490196078433
Viral Pathogenesis Section (Laboratory of Immunoregulation),Immunity to Pulmonary Pathogens Section,0.13725490196078433
Neuroimmunology Unit,Mast Cell Biology Section,0.136986301369863
Primary Immune Deficiency Clinic,Immunobiology Section,0.136986301369863
Type 2 Immunity Section,HIV-Specific Immunity Section,0.136986301369863
Molecular and Cellular Immunoregulation Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.1368421052631579
TSE/Prion and Retroviral Pathogenesis Section,Cell Signaling and Immunity Section,0.1368421052631579
Primary Immune Deficiency Clinic,Genetic Immunotherapy Section,0.13675213675213677
T-Lymphocyte Biology Section,Lymphocyte Activation Section,0.13675213675213677
Pathogenesis and Immunity Section,Molecular Pathogenesis and Biomarkers Section,0.1366120218579235
Vaccine Development Unit,Molecular Pathogenesis and Biomarkers Section,0.1366120218579235
Epithelial Therapeutics Unit,Computational Biology Unit,0.13636363636363635
Food Allergy Research Section,Barrier Immunity Section,0.13636363636363635
Fungal Pathogenesis Section,Functional Cellular Networks Section,0.13636363636363635
Helminth Immunology Section,Food Allergy Research Section,0.13636363636363635
Hepatic Pathogenesis Section,Chemotaxis Signal Section,0.13636363636363635
Immune Deficiency Genetics Section,Clinical Research Section,0.13636363636363635
Immunobiology Section,HIV Immunovirology Section,0.13636363636363635
LID Clinical Studies Unit,Computational Biology Unit,0.13636363636363635
Lymphocyte Biology Section,Human Immunological Diseases Section,0.13636363636363635
Lymphocyte Biology Section,Inflammation Biology Section,0.13636363636363635
Molecular Microbiology Section,Inflammation Biology Section,0.13636363636363635
Molecular Pathology Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.13636363636363635
Neuroimmunological Diseases Section,Cell Signaling and Immunity Section,0.13636363636363635
Nonhuman Primate Virology Section,Lyme Disease Studies Unit,0.13636363636363635
Pathogen-Host Cell Biology Section,Malaria Functional Genomics Section,0.13636363636363635
Physiology Unit,HIV-Specific Immunity Section,0.13636363636363635
Quantitative Virology and Evolution Unit,Autoimmunity and Functional Genomics Section,0.13636363636363635
Scientist Emerita,Clinical Pathophysiology Section,0.13636363636363635
Structural Biology Section,Computational Biology Unit,0.13636363636363635
T-Cell Tolerance and Memory Section,Barrier Immunity Section,0.13636363636363635
Tuberculosis Research Section,Signaling Systems Section,0.13636363636363635
Vector-Pathogen-Host Interaction Unit,HIV Immunovirology Section,0.13636363636363635
Viral Budding Unit,Autoimmunity and Functional Genomics Section,0.13636363636363635
Viral Budding Unit,Molecular Genetics Section (Laboratory of Bacteriology),0.13636363636363635
Viral Pathogenesis and Vaccine Section,Malaria Functional Genomics Section,0.13636363636363635
Viral Pathogenesis and Vaccine Section,Molecular and Cellular Immunoregulation Section,0.13636363636363635
Virus Ecology Section,TSE/Prion and Retroviral Pathogenesis Section,0.13636363636363635
T-Cell Tolerance and Memory Section,Emerging Respiratory Viruses Section,0.13618677042801555
T-Cell Tolerance and Memory Section,Medical Virology Section,0.13618677042801555
Tuberculosis Research Section,Immune Deficiency Genetics Section,0.13609467455621302
Multiscale Systems Biology Section,Microbial Pathogenesis Section,0.13592233009708737
Structural Virology Section,Apicomplexan Molecular Physiology Section,0.13592233009708737
Immunobiology Section,Hepatic Pathogenesis Section,0.13580246913580246
Lung and Vascular Inflammation Section,Antibacterial Host Defense Unit,0.13559322033898305
Microbial Pathogenesis Section,Immune Activation Section,0.13559322033898305
Molecular Microbiology Section,HIV Immunovirology Section,0.13559322033898305
Molecular Signaling Section,Microbial Pathogenesis Section,0.13559322033898305
Neuroimmunological Diseases Section,HIV Immunovirology Section,0.13559322033898305
Retroviral Immunology Section,Pathogen-Host Cell Biology Section,0.13559322033898305
Structural Biology Section,Clinical and Molecular Retrovirology Section,0.13559322033898305
TSE/Prion and Retroviral Pathogenesis Section,Emerging Respiratory Viruses Section,0.13553113553113552
TSE/Prion and Retroviral Pathogenesis Section,Medical Virology Section,0.13553113553113552
International HIV/STD Section,Cellular Immunology Section,0.13548387096774195
Tuberculosis Research Section,Epidemiology and Population Studies Unit,0.13548387096774195
Neuroimmunological Diseases Section,Emerging Respiratory Viruses Section,0.13533834586466165
