section_a,section_b,project_term_similarity
Viral Pathogenesis and Evolution Section,T-Lymphocyte Biology Section,0.07728706624605679
Viral Pathogenesis and Vaccine Section,Vector Biology Section,0.07726495726495726
Multiscale Systems Biology Section,Gene Regulation Section,0.07726409119696011
Structural Informatics Unit,Epithelial Therapeutics Unit,0.07725321888412018
Multiscale Systems Biology Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.07724137931034483
Mucosal Immunity Section,Chemotaxis Signal Section,0.07721139430284858
Physiology Unit,Molecular Parasitology Section,0.07719054242002782
Hepatic Pathogenesis Section,Fungal Pathogenesis Section,0.0771850170261067
Structural Informatics Unit,Integrative Immunobiology Section,0.07716049382716049
Tuberculosis Research Section,Hepatic Pathogenesis Section,0.07715963097567795
Viral Biochemistry Section,Microbial Pathogenesis Section,0.07715930902111325
Infectious Disease Fellowship Training Program,Immunopathogenesis Section (Laboratory of Immunoregulation),0.07715877437325905
HIV-Specific Immunity Section,Genetic Engineering Section,0.07710064635272391
Molecular Parasitology Section,Buildings 4 and 10/11C127,0.07708779443254818
Systems Genomics Section,Immunity to Pulmonary Pathogens Section,0.07707707707707707
Vector Molecular Biology Section,Systems Genomics Section,0.07706766917293233
Immunity to Pulmonary Pathogens Section,DNA Tumor Virus Section,0.07705053852526926
Molecular HIV Host Interactions Section,Clinical Research Section,0.07704858593183467
T-Cell Tolerance and Memory Section,Primary Immune Deficiency Clinic,0.0770478507704785
Lung and Vascular Inflammation Section,Buildings 4 and 10/11C127,0.0770408163265306
Viral Biochemistry Section,Epidemiology and Population Studies Unit,0.07701019252548132
Neuroimmunological Diseases Section,HIV Pathogenesis Section,0.0770065075921909
Clinical Pathophysiology Section,Cellular Biology Section,0.07699443413729128
Viral Pathogenesis Section (Laboratory of Viral Diseases),Functional Cellular Networks Section,0.07698412698412699
Malaria Infection Biology and Immunity Unit,Barrier Immunity Section,0.07692307692307693
T-Cell Tolerance and Memory Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.07692307692307693
Vector-Pathogen-Host Interaction Unit,Translational Mycology Section,0.07692307692307693
Human Immunological Diseases Section,DNA Tumor Virus Section,0.07688966116420504
Molecular Genetics Section (Laboratory of Bacteriology),Human Eosinophil Section,0.0768526989935956
Caliciviruses Section,Antibacterial Host Defense Unit,0.07683982683982683
Molecular Microbiology Section,Functional Cellular Networks Section,0.07679180887372014
Lymphocyte Activation Section,Immunity to Pulmonary Pathogens Section,0.07678500199441564
Genetic Immunotherapy Section,Apicomplexan Molecular Physiology Section,0.07677960833074293
Structural Biology Section,Retroviral Immunology Section,0.07677543186180422
Molecular Defenses Section,HIV Immunovirology Section,0.07677165354330709
Structural Immunology Section,Emerging Respiratory Viruses Section,0.07676474149412763
Structural Immunology Section,Medical Virology Section,0.07676474149412763
Structural Virology Section,Retroviral Immunology Section,0.07672980286045612
Molecular and Cellular Immunoregulation Section,Molecular Pathogenesis and Biomarkers Section,0.07672849915682968
Molecular Defenses Section,Emerging Respiratory Viruses Section,0.07672317782452667
Molecular Defenses Section,Medical Virology Section,0.07672317782452667
Physiology Unit,Gene Regulation Section,0.07669441141498216
Viral Immunology Section,Genetic Immunotherapy Section,0.07669172932330827
Salmonella-Host Cell Interactions Section,Immune Deficiency Genetics Section,0.07666666666666666
TSE/Prion and Retroviral Pathogenesis Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.07665505226480836
Viral Biochemistry Section,Fungal Pathogenesis Section,0.07665505226480836
Molecular HIV Host Interactions Section,Molecular Defenses Section,0.07665312153675656
Immunity to Pulmonary Pathogens Section,Epithelial Therapeutics Unit,0.07665094339622641
Salmonella-Host Cell Interactions Section,DNA Tumor Virus Section,0.07665094339622641
Viral Pathogenesis and Vaccine Section,TSE/Prion Molecular Biology Section,0.07663896583564174
Type 2 Immunity Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.07662835249042145
Immune Activation Section,HIV Pathogenesis Section,0.07661691542288557
Molecular Signaling Section,HIV Pathogenesis Section,0.07661691542288557
Pathogen-Host Cell Biology Section,Cell Signaling and Immunity Section,0.07660455486542443
Retroviral Immunology Section,Inflammation & Innate Immunity Unit,0.07659574468085106
Viral Immunology Section,TSE/Prion Molecular Biology Section,0.07657657657657657
Viral Immunology Section,Molecular Microbiology Section,0.07657038055937643
Malaria Genetics Section,LID Clinical Studies Unit,0.07656458055925433
Intracellular Parasite Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.07655826558265583
Pathogen-Host Cell Biology Section,Metaorganism Immunity Section,0.07654320987654321
Mast Cell Biology Section,Immune Activation Section,0.07653644048435002
Molecular Signaling Section,Mast Cell Biology Section,0.07653644048435002
LID Clinical Studies Unit,Computational Biology Unit,0.07651715039577836
Vector Biology Section,Mucosal Immunobiology Section,0.07651481645289694
Retroviral Immunology Section,Emerging Respiratory Viruses Section,0.07648208469055374
Retroviral Immunology Section,Medical Virology Section,0.07648208469055374
Clinical and Molecular Retrovirology Section,Chemotaxis Signal Section,0.07647983237297014
T-Lymphocyte Biology Section,Malaria Genetics Section,0.07647740440324449
Type 2 Immunity Section,Malaria Cell Biology Section,0.07647058823529412
Multiscale Systems Biology Section,Clinical Research Section,0.07646356033452807
Viral Biology Section,Clinical and Molecular Retrovirology Section,0.07645764576457646
HIV Immunovirology Section,Chemotaxis Signal Section,0.07643979057591622
Mucosal Immunobiology Section,HIV Pathogenesis Section,0.07643312101910828
Computational Biology Unit,Cell Signaling and Immunity Section,0.07641741988496302
Pathogen Molecular Genetics Section,Functional Cellular Networks Section,0.07640750670241286
Vector Biology Section,Emerging Respiratory Viruses Section,0.07640289476806264
Vector Biology Section,Medical Virology Section,0.07640289476806264
Human Eosinophil Section,Clinical and Molecular Retrovirology Section,0.07636363636363637
TSE/Prion Biochemistry Section,Genetic Immunotherapy Section,0.07633353770692826
Malaria Functional Genomics Section,Lung and Vascular Inflammation Section,0.07631991636173549
Microbial Pathogenesis Section,Functional Cellular Networks Section,0.07630057803468208
Physiology Unit,Epithelial Therapeutics Unit,0.0762987012987013
Primary Immune Deficiency Clinic,Cellular Immunology Section,0.07628955353272648
Viral Biology Section,Molecular Parasitology Section,0.07628294036061026
Viral Immunology Section,B-Cell Molecular Immunology Section,0.07627737226277373
Inflammation & Innate Immunity Unit,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.07626459143968872
Molecular Pathogenesis and Biomarkers Section,Lyme Disease Studies Unit,0.07624113475177305
Signaling Systems Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.07623762376237624
Pathogen-Host Cell Biology Section,Infectious Disease Fellowship Training Program,0.07623318385650224
Molecular Defenses Section,Clinical Research Section,0.07622950819672131
Molecular Genetics Section (Laboratory of Bacteriology),Malaria Cell Biology Section,0.07620320855614973
Scientist Emerita,Antibacterial Host Defense Unit,0.0761986301369863
Viral Biochemistry Section,Molecular Pathogenesis and Biomarkers Section,0.07618283881315156
Viral Pathogenesis and Vaccine Section,Plague Section,0.07617728531855955
Viral Immunology Section,Barrier Immunity Section,0.07617360496014172
Viral Immunology Section,Lymphocyte Activation Section,0.07615112160566706
LID Clinical Studies Unit,Chlamydial Diseases Section,0.07611940298507462
Neuroimmunological Diseases Section,Chemotaxis Signal Section,0.07611152976639035
Neuroimmunological Diseases Section,Molecular Pathology Section,0.07610887096774194
Molecular and Cellular Immunology Section,Genetic Engineering Section,0.076103500761035
Microbial Pathogenesis Section,Caliciviruses Section,0.07606263982102908
Gene Regulation Section,Caliciviruses Section,0.07603406326034064
TSE/Prion Biochemistry Section,Pathogen-Host Cell Biology Section,0.07602862254025045
Viral Biochemistry Section,Structural Informatics Unit,0.07602339181286549
Vector Molecular Biology Section,LID Clinical Studies Unit,0.07598978288633461
HIV Immunovirology Section,Antibacterial Host Defense Unit,0.07598039215686274
Pathogen-Host Cell Biology Section,Molecular and Cellular Immunoregulation Section,0.0759493670886076
Mosquito Immunity and Vector Competence Section,Buildings 4 and 10/11C127,0.07594086021505377
TSE/Prion Molecular Biology Section,Scientist Emerita,0.0759233926128591
Mosquito Immunity and Vector Competence Section,Genetic Engineering Section,0.07591623036649214
Gene Regulation Section,Autoimmunity and Functional Genomics Section,0.07589025102159953
Viral Immunology Section,Signaling Systems Section,0.07588985896574882
Viral Pathogenesis Section (Laboratory of Viral Diseases),HIV Immunovirology Section,0.07586763518966909
Quantitative Virology and Evolution Unit,Malaria Functional Genomics Section,0.07584830339321358
Disease Modeling and Transmission Section,Chlamydial Diseases Section,0.07584471603163193
HIV Pathogenesis Section,Chlamydial Diseases Section,0.07582938388625593
Viral Pathogenesis Section (Laboratory of Immunoregulation),HIV Pathogenesis Section,0.07582938388625593
Physiology Unit,Mucosal Immunobiology Section,0.07581803671189145
Vector Molecular Biology Section,Barrier Immunity Section,0.07581227436823104
Viral Biology Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.07581227436823104
Immune Deficiency Genetics Section,HIV Immunovirology Section,0.07580011229646266
Primary Immune Deficiency Clinic,Integrative Immunobiology Section,0.07579787234042554
TSE/Prion Biochemistry Section,Metaorganism Immunity Section,0.07579585649317837
Computational Biology Unit,Antibacterial Host Defense Unit,0.0757825370675453
Primary Immune Deficiency Clinic,Malaria Genetics Section,0.0757825370675453
Vector Biology Section,Physiology Unit,0.07578008915304606
Mucosal Immunobiology Section,Lymphocyte Activation Section,0.07574552683896621
Vector-Pathogen-Host Interaction Unit,Malaria Functional Genomics Section,0.07572815533980583
Primary Immune Deficiency Clinic,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.07571428571428572
Lymphocyte Biology Section,Functional Cellular Networks Section,0.07567567567567568
Pathogenesis and Immunity Section,Clinical Pathophysiology Section,0.07567567567567568
Vaccine Development Unit,Clinical Pathophysiology Section,0.07567567567567568
Molecular Development of the Immune System Section,Biology of Vector-Borne Viruses Section,0.07567293042153378
Viral Biochemistry Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.07562747688243064
Translational Autoinflammatory Disease Studies Unit,Pathogen-Host Cell Biology Section,0.07560815253122946
Integrative Immunobiology Section,Immune Deficiency Genetics Section,0.07559926244622003
Primary Immune Deficiency Clinic,Infectious Disease Fellowship Training Program,0.07559681697612732
Molecular HIV Host Interactions Section,Immune Deficiency Genetics Section,0.07559471365638766
Integrative Immunobiology Section,HIV Pathogenesis Section,0.07556675062972293
Structural Virology Section,Clinical and Molecular Retrovirology Section,0.07555400453673007
Genetic Immunotherapy Section,Caliciviruses Section,0.07553475935828877
Viral Pathogenesis and Evolution Section,Viral Biochemistry Section,0.07552504038772213
Clinical Research Section,Cellular Biology Section,0.07550644567219153
Molecular HIV Host Interactions Section,Malaria Genetics Section,0.0755024443237371
Viral Immunology Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.07548845470692718
Infectious Disease Fellowship Training Program,Functional Cellular Networks Section,0.07548579970104634
T-Cell Tolerance and Memory Section,Lymphocyte Activation Section,0.07548309178743962
Viral Pathogenesis and Evolution Section,Malaria Functional Genomics Section,0.07547923322683706
Functional Cellular Networks Section,B-Cell Molecular Immunology Section,0.07546356188012074
Nonhuman Primate Virology Section,Buildings 4 and 10/11C127,0.07546115148127445
T-Lymphocyte Biology Section,Genetic Immunotherapy Section,0.07545271629778671
Immunobiology Section,Caliciviruses Section,0.07544075440754408
Mucosal Immunity Section,Functional Cellular Networks Section,0.07541785568691398
Lyme Disease Studies Unit,Immunopathogenesis Section (Laboratory of Immunoregulation),0.07541738629821532
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),HIV Pathogenesis Section,0.07538461538461538
Viral Pathogenesis and Vaccine Section,Type 2 Immunity Section,0.07533926064576509
Malaria Functional Genomics Section,Epithelial Therapeutics Unit,0.07532956685499058
Viral Pathogenesis Section (Laboratory of Immunoregulation),Computational Biology Unit,0.0753221010901883
Primary Immune Deficiency Clinic,Immunobiology Section,0.07530717399920729
Metaorganism Immunity Section,DNA Tumor Virus Section,0.07530647985989491
Scientist Emerita,Malaria Functional Genomics Section,0.07528786536758193
Translational Autoinflammatory Disease Studies Unit,Chemotaxis Signal Section,0.07528735632183908
Salmonella-Host Cell Interactions Section,Immunobiology Section,0.07528711186729052
T-Lymphocyte Biology Section,Cellular Biology Section,0.07527675276752767
Molecular Parasitology Section,Antibacterial Host Defense Unit,0.07526881720430108
Pathogen Molecular Genetics Section,Mucosal Immunobiology Section,0.07526881720430108
TSE/Prion Biochemistry Section,Molecular Development of the Immune System Section,0.07525541988537254
Food Allergy Research Section,Clinical Pathophysiology Section,0.0752411575562701
Viral Pathogenesis Section (Laboratory of Viral Diseases),Structural Virology Section,0.07524042994531398
Viral Biology Section,Systems Genomics Section,0.07522697795071336
Pathogen-Host Cell Biology Section,Epithelial Therapeutics Unit,0.07520325203252033
Viral Pathogenesis Section (Laboratory of Viral Diseases),Pathogen Molecular Genetics Section,0.0752
Viral Pathogenesis Section (Laboratory of Viral Diseases),Emerging Respiratory Viruses Section,0.07519856520625161
Viral Pathogenesis Section (Laboratory of Viral Diseases),Medical Virology Section,0.07519856520625161
Translational Allergic Immunopathology Unit,B-Cell Immunology Section,0.07519788918205805
Physiology Unit,Chemotaxis Signal Section,0.07518115942028986
Molecular Pathogenesis and Biomarkers Section,Malaria Infection Biology and Immunity Unit,0.07515030060120241
Pathogenesis and Immunity Section,Immunity to Pulmonary Pathogens Section,0.07514910536779323
Vaccine Development Unit,Immunity to Pulmonary Pathogens Section,0.07514910536779323
Viral Biology Section,Mucosal Immunity Section,0.07513555383423702
Malaria Cell Biology Section,Chlamydial Diseases Section,0.07512953367875648
Inflammation Biology Section,Caliciviruses Section,0.07510917030567686
Immunity to Pulmonary Pathogens Section,HIV Pathogenesis Section,0.07510729613733906
LID Clinical Studies Unit,Clinical Research Section,0.07508305647840531
Translational Mycology Section,Scientist Emerita,0.07507987220447285
Malaria Functional Genomics Section,Clinical and Molecular Retrovirology Section,0.07505773672055427
Microbial Pathogenesis Section,Antibacterial Host Defense Unit,0.07505601194921584
Viral Pathogenesis and Evolution Section,Antibacterial Host Defense Unit,0.075049115913556
T-Cell Tolerance and Memory Section,Pathogen-Host Cell Biology Section,0.075046904315197
Viral Pathogenesis Section (Laboratory of Immunoregulation),LID Clinical Studies Unit,0.07502287282708142
Multiscale Systems Biology Section,Lyme Disease Studies Unit,0.075
Primary Immune Deficiency Clinic,Molecular Biology Section,0.075
Viral Pathogenesis Section (Laboratory of Immunoregulation),Viral Budding Unit,0.075
Neuroimmunological Diseases Section,Lymphocyte Activation Section,0.07499002792181891
Viral Biology Section,Chemotaxis Signal Section,0.07497741644083107
Molecular Genetics Section (Laboratory of Bacteriology),LID Clinical Studies Unit,0.07497467071935157
Inflammation Biology Section,Computational Biology Unit,0.07496977025392987
Viral Immunity and Pathogenesis Unit,B-Cell Immunology Section,0.0749665327978581
Vector Biology Section,Hepatic Pathogenesis Section,0.07494356659142212
Physiology Unit,Molecular Pathology Section,0.07491486946651532
Vector-Pathogen-Host Interaction Unit,Physiology Unit,0.07487520798668885
Neuroimmunological Diseases Section,Malaria Functional Genomics Section,0.07484769364664925
Physiology Unit,Genetic Immunotherapy Section,0.07484338938344873
TSE/Prion Molecular Biology Section,Malaria Cell Biology Section,0.07483296213808463
Salmonella-Host Cell Interactions Section,HIV Immunovirology Section,0.07482993197278912
Molecular Defenses Section,Barrier Immunity Section,0.07481629926519706
Inflammation & Innate Immunity Unit,Barrier Immunity Section,0.07480314960629922
Structural Biology Section,Chlamydial Diseases Section,0.07479224376731301
Malaria Immunology Section,DNA Tumor Virus Section,0.07478632478632478
Pathogen Molecular Genetics Section,Molecular Biology Section,0.07477820025348543
Vector-Pathogen-Host Interaction Unit,Chlamydial Diseases Section,0.07476635514018691
Type 2 Immunity Section,Molecular HIV Host Interactions Section,0.0747588424437299
Type 2 Immunity Section,Host-Parasite Interactions Section,0.07475622968580715
Signaling Systems Section,Lyme Disease Studies Unit,0.07475409836065573
Viral Pathogenesis Section (Laboratory of Viral Diseases),Pathogenesis and Immunity Section,0.07475371836971219
Viral Pathogenesis Section (Laboratory of Viral Diseases),Vaccine Development Unit,0.07475371836971219
TSE/Prion and Retroviral Pathogenesis Section,Pathogen Molecular Genetics Section,0.07474429583005507
Integrative Immunobiology Section,Caliciviruses Section,0.07473841554559044
Molecular Defenses Section,Lyme Disease Studies Unit,0.07473841554559044
Scientist Emerita,Genetic Immunotherapy Section,0.07473749227918468
Viral Pathogenesis and Vaccine Section,Gene Regulation Section,0.07473035439137134
Translational Autoinflammatory Disease Studies Unit,HIV Immunovirology Section,0.07471647765176785
HIV-Specific Immunity Section,Antibacterial Host Defense Unit,0.07471264367816093
International HIV/STD Section,Clinical Pathophysiology Section,0.07470777570726748
Salmonella-Host Cell Interactions Section,Lung and Vascular Inflammation Section,0.07470651013874066
Scientist Emerita,Lymphocyte Biology Section,0.07470391740054662
Viral Pathogenesis Section (Laboratory of Viral Diseases),T-Lymphocyte Biology Section,0.07468259895444361
Structural Immunology Section,Neuroimmunological Diseases Section,0.07459095283926853
Inflammation Biology Section,Epithelial Therapeutics Unit,0.07458912768647281
Malaria Functional Genomics Section,Chemotaxis Signal Section,0.0745829244357213
TSE/Prion Molecular Biology Section,Epidemiology and Population Studies Unit,0.07457898957497995
Molecular and Cellular Immunology Section,DNA Tumor Virus Section,0.0745594215996385
DNA Tumor Virus Section,Apicomplexan Molecular Physiology Section,0.07455012853470437
T-Cell Tolerance and Memory Section,Disease Modeling and Transmission Section,0.07453825857519789
Molecular Pathology Section,Emerging Respiratory Viruses Section,0.07452657299938913
Molecular Pathology Section,Medical Virology Section,0.07452657299938913
TSE/Prion Molecular Biology Section,Mucosal Immunobiology Section,0.07451763140385895
Viral Immunology Section,Hepatic Pathogenesis Section,0.07451763140385895
Viral Budding Unit,Retroviral Immunology Section,0.07450980392156863
Lymphocyte Activation Section,Inflammation Biology Section,0.07450664518727346
Apicomplexan Molecular Physiology Section,Antibacterial Host Defense Unit,0.07445887445887446
Retroviral Immunology Section,Epithelial Therapeutics Unit,0.07445589919816724
Viral Pathogenesis Section (Laboratory of Viral Diseases),LID Clinical Studies Unit,0.07443946188340807
Genetic Engineering Section,Caliciviruses Section,0.07442888725128961
Viral Immunology Section,Antibacterial Host Defense Unit,0.07442596991290577
Signaling Systems Section,Clinical Research Section,0.0744138634046891
Structural Immunology Section,Chlamydial Diseases Section,0.0743847874720358
Translational Allergic Immunopathology Unit,Structural Informatics Unit,0.0743801652892562
Viral Immunology Section,Neuroimmunological Diseases Section,0.07436399217221135
Salmonella-Host Cell Interactions Section,Cellular Immunology Section,0.07433380084151472
Mucosal Immunobiology Section,Epithelial Therapeutics Unit,0.0743321718931475
Vector Biology Section,Pathogen-Host Cell Biology Section,0.07432788613600422
Helminth Immunology Section,Chemotaxis Signal Section,0.07432432432432433
Malaria Functional Genomics Section,Buildings 4 and 10/11C127,0.07432432432432433
Molecular Pathogenesis and Biomarkers Section,Molecular HIV Host Interactions Section,0.07432035986700568
Metaorganism Immunity Section,Epidemiology and Population Studies Unit,0.07430875576036866
Mucosal Immunobiology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.07429718875502007
Helminth Immunology Section,Caliciviruses Section,0.07428144830160507
Scientist Emerita,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.07426376440460948
Translational Allergic Immunopathology Unit,Signaling Systems Section,0.07425742574257425
Disease Modeling and Transmission Section,Autoimmunity and Functional Genomics Section,0.07425399028452463
Lymphocyte Biology Section,Antibacterial Host Defense Unit,0.07424441524310119
Emerging Respiratory Viruses Section,Cellular Biology Section,0.07420178799489144
Medical Virology Section,Cellular Biology Section,0.07420178799489144
Pathogen Molecular Genetics Section,Autoimmunity and Functional Genomics Section,0.07419712070874862
Plague Section,Lymphocyte Activation Section,0.0741916286451101
T-Cell Tolerance and Memory Section,Innate Immunity and Pathogenesis Section,0.07415730337078652
Pathogen-Host Cell Biology Section,Immune Deficiency Genetics Section,0.07415605976757056
Virus Ecology Section,Molecular and Cellular Immunoregulation Section,0.07415254237288135
Virus Ecology Section,Caliciviruses Section,0.07413509060955518
Neuroimmunology Unit,Genetic Engineering Section,0.07407407407407407
Microbial Pathogenesis Section,Chlamydial Diseases Section,0.07406015037593985
Viral Biochemistry Section,Vector Molecular Biology Section,0.07403123192596876
Scientist Emerita,Malaria Cell Biology Section,0.07399001361779392
Viral Biochemistry Section,Infectious Disease Fellowship Training Program,0.07396449704142012
T-Lymphocyte Biology Section,Microbial Pathogenesis Section,0.07396339185655584
Salmonella-Host Cell Interactions Section,Molecular Pathology Section,0.07396088019559902
Physiology Unit,Disease Modeling and Transmission Section,0.07395723799509288
Translational Autoinflammatory Disease Studies Unit,Molecular and Cellular Immunoregulation Section,0.07394843962008141
Malaria Genetics Section,Genetic Engineering Section,0.07390300230946882
Hepatic Pathogenesis Section,Gene Regulation Section,0.07389686337054759
Plague Section,Inflammation & Innate Immunity Unit,0.07387580299785867
Genetic Engineering Section,B-Cell Immunology Section,0.0738562091503268
Inflammation Biology Section,Genetic Engineering Section,0.07383831954169319
Microbial Pathogenesis Section,Malaria Functional Genomics Section,0.0738356683074593
Human Eosinophil Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.0738255033557047
Vector Molecular Biology Section,Chemotaxis Signal Section,0.0738255033557047
Neuroimmunology Unit,Apicomplexan Molecular Physiology Section,0.07382246376811594
Molecular Biology Section,Buildings 4 and 10/11C127,0.07380952380952381
Prion Cell Biology Unit,Fungal Pathogenesis Section,0.07380073800738007
Type 2 Immunity Section,Structural Virology Section,0.07380073800738007
Vector Biology Section,Functional Cellular Networks Section,0.07380073800738007
Viral Pathogenesis and Vaccine Section,Chlamydial Diseases Section,0.07377490576198169
Pathogen Molecular Genetics Section,Neuroimmunological Diseases Section,0.07377049180327869
Viral Biochemistry Section,Vector-Pathogen-Host Interaction Unit,0.07377049180327869
Primary Immune Deficiency Clinic,Epidemiology and Population Studies Unit,0.07375478927203065
Vector Biology Section,Pathogen Molecular Genetics Section,0.07374005305039788
Molecular Genetics Section (Laboratory of Viral Diseases),B-Cell Immunology Section,0.07372793354101766
Structural Biology Section,Inflammation Biology Section,0.07372793354101766
Viral Immunity and Pathogenesis Unit,Malaria Functional Genomics Section,0.07372400756143667
Molecular Pathogenesis and Biomarkers Section,Infectious Disease Fellowship Training Program,0.0737073707370737
Viral Pathogenesis and Evolution Section,Pathogen Molecular Genetics Section,0.0736970684039088
Type 2 Immunity Section,Lyme Disease Studies Unit,0.07367072389493914
TSE/Prion Molecular Biology Section,Molecular and Cellular Immunoregulation Section,0.07366482504604052
Scientist Emerita,Genetic Engineering Section,0.07365792759051186
Malaria Infection Biology and Immunity Unit,Hepatic Pathogenesis Section,0.07363420427553444
Mosquito Immunity and Vector Competence Section,Food Allergy Research Section,0.07359635811836115
Structural Informatics Unit,B-Cell Immunology Section,0.0735873850197109
Molecular Development of the Immune System Section,Lyme Disease Studies Unit,0.07357940747935891
Hepatic Pathogenesis Section,Buildings 4 and 10/11C127,0.07356715141146279
Host-Pathogen Interactions and Structural Vaccinology Section,Antibacterial Host Defense Unit,0.07355021216407355
Molecular Pathology Section,Buildings 4 and 10/11C127,0.07353792704111176
Physiology Unit,Helminth Immunology Section,0.07352941176470588
Vector-Pathogen-Host Interaction Unit,Functional Cellular Networks Section,0.07352941176470588
Molecular and Cellular Immunoregulation Section,Malaria Genetics Section,0.07347447073474471
Salmonella-Host Cell Interactions Section,Epithelial Therapeutics Unit,0.07346938775510205
Translational Autoinflammatory Disease Studies Unit,Pathogen Molecular Genetics Section,0.07346128391793515
Plague Section,Mast Cell Biology Section,0.07344110854503465
Structural Biology Section,Scientist Emerita,0.07344064386317907
Pathogen-Host Cell Biology Section,LID Clinical Studies Unit,0.0734094616639478
Signaling Systems Section,Fungal Pathogenesis Section,0.07339449541284404
Vector-Pathogen-Host Interaction Unit,Human Eosinophil Section,0.07339449541284404
Molecular Genetics Section (Laboratory of Bacteriology),Mast Cell Biology Section,0.07339026078929148
Systems Genomics Section,DNA Tumor Virus Section,0.07336956521739131
Salmonella-Host Cell Interactions Section,Inflammation & Innate Immunity Unit,0.07334525939177101
Viral Immunology Section,Mosquito Immunity and Vector Competence Section,0.07334428024083196
Immune Activation Section,Buildings 4 and 10/11C127,0.07332293291731669
Molecular Signaling Section,Buildings 4 and 10/11C127,0.07332293291731669
Malaria Cell Biology Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.0733162830349531
DNA Tumor Virus Section,B-Cell Molecular Immunology Section,0.07326158940397351
Structural Biology Section,Autoimmunity and Functional Genomics Section,0.07326007326007326
Quantitative Virology and Evolution Unit,LID Clinical Studies Unit,0.0732484076433121
Viral Biology Section,Host-Parasite Interactions Section,0.07323943661971831
Human Eosinophil Section,Cellular Immunology Section,0.07322872087494056
Viral Immunity and Pathogenesis Unit,Barrier Immunity Section,0.07322654462242563
Salmonella-Host Cell Interactions Section,Buildings 4 and 10/11C127,0.07319952774498228
DNA Tumor Virus Section,Clinical Pathophysiology Section,0.07319884726224783
Food Allergy Research Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.07317073170731707
Viral Pathogenesis Section (Laboratory of Viral Diseases),Primary Immune Deficiency Clinic,0.07317073170731707
Primary Immune Deficiency Clinic,Neuroimmunology Unit,0.07315891472868218
Molecular Pathology Section,Chemotaxis Signal Section,0.07315761161915008
Vector Molecular Biology Section,Epidemiology and Population Studies Unit,0.07314410480349345
Physiology Unit,Barrier Immunity Section,0.07314148681055156
Molecular Pathogenesis and Biomarkers Section,Buildings 4 and 10/11C127,0.07309721175584025
Mucosal Immunity Section,Caliciviruses Section,0.0730844793713163
Mucosal Immunobiology Section,Malaria Cell Biology Section,0.07308377896613191
Human Eosinophil Section,Chlamydial Diseases Section,0.07307692307692308
Scientist Emerita,Host-Pathogen Interactions and Structural Vaccinology Section,0.07306889352818371
Molecular Genetics Section (Laboratory of Viral Diseases),Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.07306711979609176
Viral Biology Section,Cellular Immunology Section,0.07306338028169014
Molecular Parasitology Section,DNA Tumor Virus Section,0.07304964539007092
Nonhuman Primate Virology Section,Lyme Disease Studies Unit,0.07304669440591771
Salmonella-Host Cell Interactions Section,Molecular and Cellular Immunology Section,0.07304429783223375
Viral Biochemistry Section,Neuroimmunological Diseases Section,0.0730186999109528
Pathogen Molecular Genetics Section,Genetic Engineering Section,0.07301587301587302
Structural Informatics Unit,Caliciviruses Section,0.0730050933786078
Scientist Emerita,Infectious Disease Fellowship Training Program,0.0729665071770335
Pathogen-Host Cell Biology Section,Molecular and Cellular Immunology Section,0.07294117647058823
Pathogen Molecular Genetics Section,Immune Deficiency Genetics Section,0.07293986636971046
Human Immunological Diseases Section,Epidemiology and Population Studies Unit,0.07289879931389365
Viral Immunology Section,Molecular Defenses Section,0.0728744939271255
T-Cell Tolerance and Memory Section,Clinical Research Section,0.0728476821192053
Viral Immunology Section,Multiscale Systems Biology Section,0.0728476821192053
TSE/Prion Biochemistry Section,Lyme Disease Studies Unit,0.07283090563647879
Neuroimmunological Diseases Section,Malaria Cell Biology Section,0.07280898876404494
Microbial Pathogenesis Section,Buildings 4 and 10/11C127,0.07280832095096583
Translational Mycology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.07279573266394729
Epidemiology and Population Studies Unit,Disease Modeling and Transmission Section,0.07278481012658228
Viral Budding Unit,Molecular and Cellular Immunoregulation Section,0.0727580372250423
Translational Autoinflammatory Disease Studies Unit,Emerging Respiratory Viruses Section,0.07274526784609675
Translational Autoinflammatory Disease Studies Unit,Medical Virology Section,0.07274526784609675
Viral Biochemistry Section,B-Cell Molecular Immunology Section,0.07274283269148481
